   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   153.07431      863.1032       5369.954      -2655.4714     -125.17308     -2688.9345    
     52000   150.87213      551.68135      5249.6604     -3601.3731      6.7567933     -2688.9235    
     53000   142.25666     -1317.4381      3729.3947     -7456.9378     -224.77113     -2688.9199    
     54000   166.75805      1052.601       5972.5021     -3126.4287      311.7296      -2688.925     
     55000   158.59433      2860.9805      8076.2155      430.15467      76.571238     -2688.9065    
     56000   153.01131     -4972.3823     -3871.6485     -11057.414      11.915228     -2688.8606    
     57000   154.33671      1490.291       5771.6392     -1413.365       112.59888     -2688.8976    
     58000   161.91845      1229.5022      6181.2856     -2566.1414      73.362218     -2688.9059    
     59000   170.07576     -2836.6956      1921.0193     -10554.219      123.1125      -2688.8841    
     60000   148.06932      1197.6405      7888.1166     -4309.0236      13.828439     -2688.8925    
     61000   156.02006      1749.2826      7085.5331     -1870.4035      32.718089     -2688.9117    
     62000   157.39018     -1938.9519      1898.708      -7666.9786     -48.58525      -2688.9003    
     63000   155.03318      1570.1235      5900.359      -1165.6362     -24.352356     -2688.9041    
     64000   145.34023      963.89444      6679.6239     -3586.2552     -201.68543     -2688.906     
     65000   145.53134     -712.52236      4121.0023     -6190.2346     -68.334746     -2688.9019    
     66000   167.25906      1086.4232      6896.8739     -3849.4613      211.85707     -2688.9035    
     67000   154.17802      208.99076      3867.7944     -3199.3795     -41.442656     -2688.8993    
     68000   152.84281     -1009.6139      1702.1094     -4828.0341      97.083009     -2688.8973    
     69000   148.03571     -340.89948      2997.0763     -4003.0425     -16.732291     -2688.8818    
     70000   152.28534      36.635431      4294.2458     -4219.726       35.386516     -2688.8789    
     71000   158.54385     -2278.876       193.04179     -7125.7586      96.088736     -2688.8664    
     72000   149.3554       1631.7206      6542.6319     -1573.1869     -74.28305      -2688.8636    
     73000   147.20423     -551.72328      3372.2921     -4943.7247     -83.737283     -2688.8642    
     74000   149.00187     -2221.9161      881.00297     -7565.2709      18.519736     -2688.8314    
     75000   154.75647      3759.8193      9066.5228      2238.3616     -25.426399     -2688.8241    
     76000   154.71303     -643.67617      998.29713     -2765.8245     -163.50113     -2688.8282    
     77000   151.42576     -2842.9975     -2715.1472     -5850.1912      36.345991     -2688.8112    
     78000   155.20018      4389.5251      8287.2134      4919.3287     -37.966727     -2688.7946    
     79000   157.28718     -1414.1008      342.88062     -4515.2716     -69.911419     -2688.8178    
     80000   164.83336     -1685.5064      639.88143     -5898.3231      201.92232     -2688.8265    
     81000   160.98385      899.97697      3504.8558     -834.00666      29.08179      -2688.8233    
     82000   151.97384     -1142.3954      843.50051     -4292.5299      21.84322      -2688.8146    
     83000   152.61801     -906.1858       2118.726      -4704.3395     -132.94387     -2688.811     
     84000   153.98753      550.55504      3550.694      -1981.371       82.34209      -2688.8098    
     85000   154.93425     -867.1118       1298.1282     -3884.1605     -15.303082     -2688.7971    
     86000   154.04576     -640.35363      922.07061     -3018.5039      175.37236     -2688.7984    
     87000   148.53467      1057.0715      4075.09       -699.08099     -204.79439     -2688.7972    
     88000   147.74834     -2098.7348      60.891514     -6209.6888     -147.407       -2688.7575    
     89000   163.88775      910.42729      5144.0012     -2406.0623     -6.6569704     -2688.7688    
     90000   145.56026      1173.5917      4713.574      -1200.5348      7.7358207     -2688.7629    
     91000   148.32593     -2585.2108     -1926.1026     -5726.8002     -102.72958     -2688.7266    
     92000   150.02956      1881.6722      6460.7488     -816.37186      0.63955242    -2688.7321    
     93000   154.08069      936.45834      6224.2254     -3273.8691     -140.98135     -2688.7448    
     94000   157.11884     -2369.5863      1518.6333     -8599.3606     -28.031586     -2688.7105    
     95000   156.63522      2824.6476      8781.3147     -393.7661       86.394285     -2688.7018    
     96000   151.98288     -943.05734      3615.2353     -6298.594      -145.81335     -2688.7031    
     97000   161.02973     -1794.6069      2734.3978     -8183.9747      65.756384     -2688.6845    
     98000   162.23178      2495.4076      8501.6539     -1141.151       125.71982     -2688.6793    
     99000   154.72268     -1077.7714      2185.8821     -5396.5026     -22.693657     -2688.6863    
    100000   162.98076     -1525.311       1927.8463     -6613.417       109.63788     -2688.6764    
    101000   158.3149       2935.3802      9191.6681     -452.33034      66.802871     -2688.66      
    102000   161.40027     -1834.0532      2012.3374     -7396.9992     -117.49792     -2688.6533    
    103000   166.86502     -1137.122       3790.6104     -7287.1632      85.18696      -2688.645     
    104000   152.3599       3014.3923      8972.4606      84.522622     -13.806353     -2688.6348    
    105000   153.67401     -1793.6097      39.764821     -5255.0089     -165.5849      -2688.6216    
    106000   154.81461     -237.80227      447.1789      -1195.7591      35.173348     -2688.634     
    107000   150.96778      2716.1099      5254.5971      2905.9771     -12.244403     -2688.6259    
    108000   147.98627     -1579.9929      198.52041     -4693.2859     -245.21309     -2688.5883    
