   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   153.00654     -857.39514      2823.9806     -5260.7656     -135.40041     -2688.9248    
     52000   150.48336     -664.54294      3636.1908     -5612.2814     -17.538304     -2688.9241    
     53000   144.54744     -1370.2998      3784.4881     -7654.4845     -240.90304     -2688.9244    
     54000   169.24791     -926.26883      2789.4348     -5841.1775      272.9362      -2688.9248    
     55000   153.48554     -14.218199      4213.2908     -4326.1205      70.175075     -2688.9241    
     56000   157.46673     -840.70269      2888.1906     -5369.0216     -41.277032     -2688.9248    
     57000   155.64685     -1941.481       1383.2576     -7088.5229     -119.17764     -2688.9242    
     58000   151.59441      16.925906      4364.9805     -4459.4412      145.23841     -2688.9225    
     59000   162.22769     -99.689134      4181.3728     -4643.2296      162.78944     -2688.9248    
     60000   149.05851     -1043.0754      2190.153      -5231.1684     -88.210773     -2688.9228    
     61000   160.29348     -918.54346      1035.1603     -3822.1294      31.33873      -2688.9254    
     62000   148.19112     -403.02536      907.89707     -2067.0718     -49.901347     -2688.923     
     63000   151.54431     -993.69235     -6.7451251     -2964.4895     -9.8424405     -2688.9232    
     64000   159.75607     -639.41027      3372.0075     -5307.3136      17.07535      -2688.9268    
     65000   153.79916     -473.75404      3208.0214     -4697.5437      68.260223     -2688.9223    
     66000   163.90216     -1093.7052      3100.1687     -6583.9181      202.63375     -2688.924     
     67000   154.81318     -396.72971      4010.4964     -5201.3         0.6144626     -2688.9236    
     68000   156.50205      85.120489      3544.1468     -3434.3876      145.60222     -2688.9242    
     69000   149.38691     -1275.3232      2515.1354     -6198.4982     -142.60681     -2688.9223    
     70000   148.65614     -477.81293      3459.6256     -4845.2222     -47.842182     -2688.9239    
     71000   154.5402      -388.0316       3419.8452     -4555.1792     -28.76072      -2688.9239    
     72000   145.40405     -1012.4907      2629.197      -5569.2993     -97.369634     -2688.9218    
     73000   158.55448     -285.28682      3593.8546     -4536.8074      87.092361     -2688.9234    
     74000   154.46        -671.79214      2510.3837     -4519.0651     -6.6951019     -2688.9228    
     75000   156.11369     -633.53477      2200.3224     -4280.3937      179.46699     -2688.923     
     76000   149.38588     -105.99365      4211.3871     -4459.3959     -69.972163     -2688.9228    
     77000   145.4569       263.75057      5226.3828     -4404.1948     -30.936251     -2688.923     
     78000   153.89157     -881.63298      2898.7785     -5484.8228     -58.854612     -2688.9227    
     79000   149.73887     -653.88574      3355.9051     -5336.9965      19.434155     -2688.922     
