   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   293.65037      531.65768      3961.3744     -2562.0971      195.69582     -2677.7126    
     52000   288.56409      1892.5983      4861.24        687.13162      129.42316     -2677.0362    
     53000   317.55453     -377.63844      1522.7916     -2624.1176     -31.589333     -2675.5253    
     54000   306.6406      -1222.1155      782.7397      -4167.1207     -281.96552     -2674.2       
     55000   308.41018      3707.1992      9856.0638      1497.6939     -232.16019     -2674.1152    
     56000   280.46467     -2528.8362      3501.3274     -11011.025     -76.810458     -2676.486     
     57000   282.81172      1456.935       8972.735      -4489.4616     -112.46847     -2676.0085    
     58000   311.72524      4177.0772      8752.1934      3439.7568      339.28136     -2675.2545    
     59000   304.32859     -3173.9961     -3135.4386     -6618.6525      232.10281     -2674.3344    
     60000   298.78733      1495.0894      6039.1273     -1300.7369     -253.12221     -2674.5774    
     61000   312.80808      1210.4017      5501.7667     -2093.8752      223.31374     -2675.5783    
     62000   300.8429      -2490.8464     -1855.3314     -5667.2175      50.0097       -2676.1172    
     63000   287.7883       1751.8612      5928.9765     -1078.0782      404.68516     -2676.5806    
     64000   292.19608     -1499.0039      3903.9647     -8389.794      -11.182415     -2675.527     
     65000   322.40541     -2770.8064     -1849.7238     -6541.6339      78.938422     -2674.5113    
     66000   297.70299      395.42695      6447.9104     -5339.8451      78.215586     -2675.4031    
     67000   285.26378     -1720.0198      3872.6314     -8897.512      -135.17893     -2676.4459    
     68000   280.33897     -1704.9364      1106.5394     -6202.5571     -18.791487     -2677.1678    
     69000   300.54246      974.3112       2835.1231      102.20306     -14.392579     -2675.0634    
     70000   300.14386     -1958.1605      2039.3493     -7896.1375     -17.693244     -2674.2937    
     71000   295.16925     -3327.8438      1843.1167     -11759.018     -67.630013     -2675.1884    
     72000   306.29961      3231.8451      8341.7867      1330.2197      23.528837     -2675.7913    
     73000   298.7159       340.28218     -68.689052      1023.257       66.278576     -2676.0108    
     74000   286.14717     -743.17753      2056.6272     -4385.1804      99.020553     -2676.7079    
     75000   280.18759      895.43755      7281.346      -4464.6241     -130.40926     -2676.4282    
     76000   307.30687     -1111.9479      2583.8454     -5874.6218     -45.067376     -2675.2614    
     77000   302.08608      764.00945      4177.7253     -1777.1794     -108.51756     -2674.7344    
     78000   307.54221      2370.0577      6342.24        966.82564     -198.89249     -2674.402     
     79000   314.09306     -493.10713      4215.9253     -5629.3044     -65.942311     -2674.5604    
     80000   282.60846      1464.2944      5134.6724     -495.9291      -245.86013     -2675.8395    
     81000   303.32805      2259.3719      3626.3507      3032.3562      119.40887     -2675.5848    
     82000   310.23227     -1314.7666      2466.4003     -6490.4909      79.790981     -2674.1528    
     83000   317.76492      1466.3729      4738.7354     -330.07281     -9.5439599     -2674.7552    
     84000   297.22072      2944.6142      8394.2128      310.58828      129.04158     -2675.9439    
     85000   292.31364      836.43846      9121.5377     -6459.2123     -153.01002     -2676.3566    
     86000   309.18359     -189.83037      2573.1387     -3568.3118      425.68202     -2675.409     
     87000   296.78809     -686.9019       2013.6366     -3680.6666     -393.67561     -2675.6109    
     88000   288.17059      304.2801       2692.3478     -1441.6154     -337.89209     -2674.8831    
     89000   310.5574      -138.89464      6219.7928     -6738.7015      102.22476     -2675.5582    
     90000   292.76116      811.3689       7646.6727     -5114.9953     -97.570686     -2676.3597    
     91000   292.08997      1298.4674      5701.29       -1770.4843     -35.403421     -2675.2583    
     92000   282.18369     -2207.6726     -1162.2525     -5078.797      -381.9681      -2675.6399    
     93000   288.00807      1495.6736      4818.5574     -423.13059      91.594052     -2676.9713    
     94000   287.85888     -234.02017      1826.3074     -2088.2481     -440.11987     -2676.517     
     95000   297.22056     -2876.7517      1156.0596     -9494.4697     -291.84509     -2676.2325    
     96000   300.47697      3142.6984      9673.4705     -370.59494      125.21977     -2675.3643    
     97000   322.46264      228.30166      4101.922      -3410.9708     -6.0462282     -2674.5205    
     98000   325.36699     -3243.4224     -2152.3396     -7338.5017     -239.42586     -2673.6531    
     99000   294.02858      1105.6242      8230.5464     -5003.6166      89.942686     -2675.3507    
    100000   293.33351      212.8786       6191.3979     -5603.678       50.915815     -2675.7796    
    101000   300.30642     -2314.5594      894.7063      -7751.6974     -86.68721      -2676.023     
    102000   309.20806      2508.776       7908.5138     -781.71614      399.53049     -2675.5876    
    103000   316.30147     -1566.8478      2478.9001     -7677.7246      498.28091     -2674.7566    
    104000   305.14331     -4143.9045     -5189.3168     -7053.9271     -188.46958     -2674.8695    
    105000   302.15116      5495.3268      10933.672      5331.9102      220.39841     -2675.2976    
    106000   299.29464     -3796.8694     -1554.1717     -9836.2732     -0.16322938    -2676.0394    
    107000   276.5196      -1929.7667      2745.8212     -8235.1509     -299.9703      -2677.5533    
    108000   301.92819      2562.3376      9756.424      -2031.9283     -37.483004     -2674.7962    
    109000   329.48743     -1719.9877      1479.1815     -7161.2705      522.12579     -2674.8246    
    110000   305.41405     -884.91925      920.11904     -3754.9373      180.06049     -2676.0789    
    111000   281.37721      1782.7243      8109.3262     -2619.7463     -141.40702     -2676.606     
    112000   296.3131      -1289.7355      3644.551      -7643.1095      129.35211     -2675.6915    
    113000   303.74039     -2115.3492      2287.5618     -8627.3827     -6.2266161     -2674.9742    
    114000   318.73607      3225.5775      8566.4194      875.32857      234.98443     -2674.0895    
    115000   324.61298     -3343.1578      988.0381      -11074.434      56.922699     -2673.9237    
    116000   294.10337     -103.94625      4482.6173     -4484.9886     -309.46737     -2676.1199    
    117000   292.48611      5239.965       15102.405      661.08696     -43.597349     -2675.6317    
    118000   298.61761     -4741.4027     -2523.9487     -11754.807      54.548077     -2675.2825    
