Mbytes
   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1159.5964      3551.9654     -1064.9488      991.77245     -2688.9391    
     51000   156.96298     -443.63293      2023.9187     -3035.5102     -319.3073      -2687.6904    
     52000   192.60675     -715.07766      1714.2008     -3973.8433      114.4095      -2685.1289    
     53000   223.99152     -992.47852      1287.6003     -4015.1045     -249.9313      -2682.0394    
     54000   268.32059      883.67025      4103.1055     -1551.7122      99.617412     -2678.7265    
     55000   303.83306      518.0851       4558.2932     -3228.404       224.36605     -2675.7556    
     56000   312.15275      320.80264      3272.4705     -2150.878      -159.18464     -2673.7063    
     57000   342.59275      1507.1425      6708.5736     -2336.0369      148.8907      -2673.3994    
     58000   298.34353      715.0921       3939.0594     -1603.8109     -189.97216     -2675.0712    
     59000   294.95313     -639.38682      1991.5445     -4042.1672      132.46216     -2676.7758    
     60000   278.38759     -2200.6335      1247.5801     -7818.9386     -30.542007     -2677.1463    
     61000   283.62641     -2016.5492     -2034.2261     -4005.1387     -10.282779     -2675.9798    
     62000   314.58533      560.28718      3620.4013     -2068.3074      128.76762     -2674.4906    
     63000   318.9932       1744.3829      4398.7733      869.62008     -35.244592     -2674.1726    
     64000   296.44042      1273.9236      5518.0235     -1713.0998      16.847041     -2675.225     
     65000   303.77293      1876.613       5706.9363     -291.70887      214.61152     -2676.1833    
     66000   292.44628      478.82435      2870.9628     -1498.4016      63.911921     -2676.5773    
     67000   296.25797     -1155.5685      3156.9678     -6771.8229      148.14951     -2676.0773    
     68000   299.89631     -3858.0243     -4820.0652     -6596.4252     -157.58253     -2675.1175    
     69000   324.94668     -704.46417      3676.0993     -6086.9908      297.49903     -2674.2758    
     70000   296.5069       1256.0134      4560.8403     -722.58885     -70.2111       -2674.687     
     71000   281.25267      2202.5541      6633.7147      249.78391     -275.83641     -2675.87      
     72000   297.4437       2273.4749      7824.2834     -893.70504     -110.15372     -2676.2689    
