   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            869.67552      2663.9178     -798.72046      743.82926     -2688.939     
     51000   156.9642      -332.68229      1517.9544     -2276.5248     -239.47647     -2687.6903    
     52000   192.60893     -536.08011      1286.0019     -2980.0512      85.808954     -2685.1287    
     53000   223.99078     -743.93259      966.16614     -3010.5164     -187.44746     -2682.0392    
     54000   268.32575      663.236        3078.1903     -1163.1939      74.711512     -2678.7264    
     55000   303.83207      389.01657      3419.4224     -2420.6788      168.3061      -2675.7555    
     56000   312.15544      240.78319      2454.3414     -1612.5993     -119.39253     -2673.7063    
     57000   342.5944       1130.3076      5031.8449     -1752.5779      111.65571     -2673.3994    
     58000   298.34354      536.42034      2953.9192     -1202.1509     -142.50728     -2675.0712    
     59000   294.95227     -479.22095      1494.5144     -3031.5346      99.35734      -2676.7758    
     60000   278.38012     -1650.0022      936.05        -5863.1391     -22.917465     -2677.1464    
     61000   283.61845     -1512.1556     -1525.346      -3003.389      -7.7316556     -2675.9799    
     62000   314.58512      420.41686      2716.2695     -1551.6173      96.598412     -2674.4907    
     63000   318.99195      1308.4831      3298.1707      653.70467     -26.426117     -2674.1726    
     64000   296.44155      955.7874       4140.0795     -1285.3874      12.670048     -2675.225     
     65000   303.77132      1407.7425      4279.7756     -217.52883      160.9808      -2676.1833    
     66000   292.45539      359.4517       2154.5688     -1124.1072      47.89349      -2676.5772    
     67000   296.26308     -865.93017      2368.1717     -5077.1632      111.20098     -2676.0772    
     68000   299.8757      -2893.2123     -3614.9938     -4946.3798     -118.26333     -2675.1176    
     69000   324.9558      -528.6249       2757.6862     -4566.674       223.1131      -2674.2759    
     70000   296.50781      941.75034      3419.4559     -541.50544     -52.699393     -2674.687     
     71000   281.24642      1652.1117      4976.2937      186.94771     -206.90615     -2675.87      
     72000   297.45406      1705.3419      5867.6108     -669.00909     -82.575902     -2676.2688    
     73000   305.12945      1446.4139      3293.7573      932.5844       112.90011     -2675.7079    
     74000   299.08127     -205.87057      3600.2565     -4201.9967     -15.871536     -2674.2919    
     75000   334.33045     -1792.6991     -1485.1376     -4031.7062      138.74638     -2674.0487    
     76000   304.49527     -2812.6018     -1443.8366     -6936.8837     -57.085101     -2674.6514    
     77000   310.68479     -880.08194      1135.6897     -3853.9847      78.04918      -2675.2265    
     78000   291.17373      1366.2878      3113.1558      967.56532      18.14228      -2676.0036    
     79000   285.84098      1576.6896      5633.1492     -751.84806     -151.23225     -2676.5525    
     80000   285.3298       1405.6092      3883.033       361.34871     -27.554155     -2676.201     
     81000   300.52993      457.33773      3291.2357     -1839.6355     -79.586919     -2674.5311    
     82000   327.68833      115.51699      1717.4504     -1395.4593      24.559922     -2674.4846    
     83000   298.87427     -2598.9825     -1445.7547     -6246.8913     -104.30155     -2675.5847    
     84000   278.91719     -2284.0978      79.728163     -6594.1964     -337.82505     -2675.9891    
     85000   300.30069      178.785        1513.6583     -1161.9299      184.62666     -2675.7976    
     86000   303.32429      1266.529       5031.926      -1121.9211     -110.41793     -2675.1872    
     87000   310.77412      1458.9882      4694.7375     -361.53514      43.762107     -2673.4957    
     88000   312.4448       908.60322      3393.0894     -653.55836     -13.721405     -2673.7237    
     89000   297.39954      1.2787459      1273.787      -1099.8652     -170.08547     -2675.2233    
     90000   306.48917     -709.25939      1467.1538     -3702.1706      107.23863     -2675.8176    
     91000   272.95752     -2259.6337     -1240.0254     -5292.0706     -246.80514     -2676.0566    
     92000   290.54446     -1117.2405      259.43445     -3588.7732     -22.382865     -2675.5626    
     93000   321.30087      76.436796      2227.9196     -2070.1571      71.54786      -2674.1913    
     94000   305.29982      987.45245      3329.7079     -281.16685     -86.183707     -2674.0496    
     95000   309.59324      1347.438       5234.3928     -1242.6467      50.56776      -2675.1549    
     96000   293.18974      225.73738      2445.0071     -1636.3762     -131.41878     -2675.5534    
     97000   299.18268      775.36648      3103.3657     -847.84544      70.579171     -2675.4482    
     98000   298.26811     -381.6788       2387.3898     -3475.7244     -56.701778     -2675.539     
     99000   291.68283     -1118.8675      764.32484     -4022.1583     -98.769029     -2675.7715    
    100000   291.84137     -1313.7816     -135.08012     -3664.7        -141.56456     -2676.1375    
    101000   302.82935     -32.248982      2399.68       -2475.1978     -21.229204     -2676.0767    
    102000   298.03037      51.966634      1180.3797     -938.38071     -86.09911      -2675.4705    
    103000   310.34207     -66.81601       2521.0331     -2694.3873     -27.093841     -2674.4864    
