   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   293.64592      759.38231      4311.8368     -2215.964       182.27417     -2677.7127    
     52000   287.06558     -1765.9194     -617.27245     -4718.1001      37.614395     -2677.0147    
     53000   315.13648      754.25015      3425.3218     -1162.718       0.14668376    -2675.5791    
     54000   301.64487     -1205.0365      54.052533     -3326.0106     -343.15147     -2674.2457    
     55000   316.17714     -2454.9312      1854.517      -9016.4297     -202.88091     -2674.0037    
     56000   275.18462      2967.6889      11942.517     -2893.79       -145.65997     -2676.5917    
     57000   282.48444     -3005.7244      2288.0362     -11179.47      -125.7398      -2675.9409    
     58000   316.07531      292.48352      2514.044      -1999.9435      363.35007     -2675.4203    
     59000   302.6374       1383.6395      5042.2993     -960.72472      69.343796     -2674.3769    
     60000   291.91487     -2660.2406      2593.8645     -10364.522     -210.06427     -2676.2812    
     61000   307.51396      1552.5322      8053.7169     -3394.8828     -1.2376194     -2675.6711    
     62000   307.74377     -1944.791       2621.1711     -8273.1495     -182.39452     -2675.1207    
     63000   283.54961      886.329        6097.1159     -3620.7694      182.64047     -2675.2797    
     64000   280.49153      1915.8812      7389.5257     -1548.1882     -93.693993     -2675.6892    
     65000   266.65993     -3686.3849     -3024.8462     -7649.9389     -384.36964     -2677.5942    
     66000   289.68534      1247.7648      6344.6482     -2577.4688     -23.885061     -2675.3589    
     67000   304.87161      830.6332       8317.211      -5688.8229     -136.48845     -2674.4995    
     68000   297.06125     -1876.8851      174.4913      -5537.7597     -267.38705     -2675.5801    
     69000   302.1205       1095.3788      3631.3538     -437.34304      92.12557      -2676.2185    
     70000   303.43179     -539.29439      4782.5262     -6560.9003      160.49093     -2675.6565    
     71000   320.4378       2148.5539      6785.9032     -539.85646      199.61507     -2674.3732    
     72000   290.60808     -206.72615      2490.6899     -3123.6198      12.751403     -2675.5191    
     73000   298.38523     -1624.609       1117.1551     -6104.0017      113.01955     -2676.2208    
     74000   301.25713      2382.0406      10909.182     -3752.6754     -10.3849       -2675.6495    
     75000   311.78919     -871.98477      4527.3796     -7102.2822     -41.051768     -2674.7727    
     76000   308.29787     -655.81363     -35.849793     -1974.9382      43.347075     -2675.4391    
     77000   300.0724       1867.1949      6094.1576     -418.64874     -73.924113     -2676.2031    
     78000   318.12706     -3.7895886      3167.0685     -3515.7771      337.33981     -2675.1234    
     79000   325.18877     -551.22848      7013.844      -8908.2103      240.68086     -2673.5971    
     80000   303.88961      1591.8899      8557.7952     -3771.4288     -10.696772     -2674.8011    
     81000   288.57832     -1937.4186      1277.3088     -6981.0028     -108.56189     -2675.623     
     82000   289.69316      1241.4296      7116.5894     -3347.3546     -44.946016     -2675.9536    
     83000   286.59718      2033.965       5865.3666      144.31933      92.209115     -2677.3711    
     84000   282.91367     -2089.4592     -541.12509     -5518.8764     -208.3761      -2676.1354    
     85000   328.12804      1134.4969      6262.4066     -3130.606       271.69025     -2675.0078    
     86000   303.96489      899.12346      5125.8754     -2561.4879      132.98291     -2674.7402    
     87000   314.44241      1139.0933      6363.7566     -2893.2989     -53.177736     -2674.131     
     88000   299.85208     -2373.2662     -916.80595     -5944.3433     -258.64944     -2674.3881    
     89000   316.22853      1202.1903      6037.1099     -2834.4761      403.93704     -2675.2502    
     90000   297.55837      2500.5346      11240.457     -3734.6441     -4.2090699     -2675.7357    
     91000   295.22974     -1994.9906     -19.238886     -6009.4         43.667037     -2675.9903    
     92000   303.33853     -744.73036      3185.6289     -5164.433      -255.38699     -2674.7039    
     93000   320.26447      3323.7335      12627.146     -2925.4122      269.46701     -2674.5189    
     94000   307.70312     -877.77796      4589.7486     -7583.4589      360.37638     -2675.5437    
     95000   296.93759     -1524.1175      3755.139      -8251.4222     -76.069328     -2675.425     
     96000   295.74466      2362.5971      8709.3461     -1778.8823      157.32758     -2674.6923    
     97000   309.45733      20.641216      4446.6914     -4420.1365      35.368723     -2675.0368    
     98000   307.21789     -1147.7579      1153.2226     -4696.4445      99.948219     -2674.7582    
     99000   284.51085      304.85895      2785.5292     -1724.9672     -145.98521     -2676.6255    
    100000   288.52515      1790.0188      7897.9555     -2420.3746     -107.52445     -2676.9388    
