   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   293.64592      759.38231      4311.8368     -2215.964       182.27417     -2677.7127    
     52000   287.06558     -1765.9194     -617.27245     -4718.1001      37.614395     -2677.0147    
     53000   315.13648      754.25015      3425.3218     -1162.718       0.14668376    -2675.5791    
     54000   301.64487     -1205.0365      54.052533     -3326.0106     -343.15147     -2674.2457    
     55000   316.17714     -2454.9312      1854.517      -9016.4297     -202.88091     -2674.0037    
     56000   275.18462      2967.6889      11942.517     -2893.79       -145.65997     -2676.5917    
     57000   282.48444     -3005.7244      2288.0362     -11179.47      -125.7398      -2675.9409    
     58000   316.07531      292.48352      2514.044      -1999.9435      363.35007     -2675.4203    
     59000   302.6374       1383.6395      5042.2993     -960.72472      69.343796     -2674.3769    
     60000   291.91487     -2660.2406      2593.8645     -10364.522     -210.06427     -2676.2812    
     61000   307.51396      1552.5322      8053.7169     -3394.8828     -1.2376196     -2675.6711    
     62000   307.74377     -1944.791       2621.1711     -8273.1495     -182.39452     -2675.1207    
     63000   283.54961      886.329        6097.1159     -3620.7694      182.64047     -2675.2797    
     64000   280.49153      1915.8812      7389.5257     -1548.1882     -93.693993     -2675.6892    
     65000   266.65993     -3686.3849     -3024.8462     -7649.9389     -384.36964     -2677.5942    
     66000   289.68534      1247.7648      6344.6482     -2577.4688     -23.885061     -2675.3589    
     67000   304.87161      830.6332       8317.211      -5688.8229     -136.48845     -2674.4995    
     68000   297.06125     -1876.8851      174.4913      -5537.7597     -267.38705     -2675.5801    
     69000   302.1205       1095.3788      3631.3538     -437.34304      92.125572     -2676.2185    
     70000   303.43179     -539.29439      4782.5261     -6560.9002      160.49093     -2675.6565    
     71000   320.4378       2148.5539      6785.9032     -539.85646      199.61507     -2674.3732    
     72000   290.60808     -206.72615      2490.6899     -3123.6198      12.751402     -2675.5191    
     73000   298.38523     -1624.609       1117.1551     -6104.0018      113.01955     -2676.2208    
     74000   301.25713      2382.0406      10909.182     -3752.6754     -10.384898     -2675.6495    
     75000   311.7892      -871.98475      4527.3797     -7102.2822     -41.051761     -2674.7727    
     76000   308.29787     -655.81367     -35.849799     -1974.9383      43.347085     -2675.4391    
     77000   300.0724       1867.1948      6094.1576     -418.64904     -73.924115     -2676.2031    
     78000   318.12705     -3.7895161      3167.0686     -3515.7769      337.33977     -2675.1234    
     79000   325.18878     -551.22816      7013.8443     -8908.2096      240.68081     -2673.5971    
     80000   303.88972      1591.8893      8557.7934     -3771.429      -10.696626     -2674.8011    
     81000   288.57839     -1937.4199      1277.3044     -6981.0021     -108.56213     -2675.6229    
     82000   289.69326      1241.4299      7116.5865     -3347.3507     -44.946185     -2675.9536    
     83000   286.59719      2033.9659      5865.3652      144.32248      92.210101     -2677.3711    
     84000   282.9134      -2089.4597     -541.1222      -5518.8802     -208.37674     -2676.1354    
     85000   328.12798      1134.5041      6262.4243     -3130.6025      271.69052     -2675.0078    
     86000   303.96494      899.12055      5125.8732     -2561.4938      132.98226     -2674.7402    
     87000   314.44258      1139.0854      6363.7385     -2893.3035     -53.178859     -2674.131     
     88000   299.8525      -2373.2677     -916.80818     -5944.3458     -258.64913     -2674.3881    
     89000   316.22879      1202.1834      6037.0975     -2834.4809      403.93367     -2675.2501    
     90000   297.55791      2500.5419      11240.493     -3734.659      -4.2084466     -2675.7357    
     91000   295.22785     -1994.9442     -19.159135     -6009.3441      43.670546     -2675.9905    
     92000   303.33353     -744.76021      3185.5467     -5164.44       -255.3874      -2674.7044    
     93000   320.26417      3323.7916      12627.188     -2925.2826      269.46923     -2674.5189    
     94000   307.70245     -877.73409      4589.8911     -7583.477       360.3836      -2675.5438    
     95000   296.99501     -1524.485       3754.4236     -8251.8695     -76.00909      -2675.4193    
     96000   295.78204      2362.3114      8708.0473     -1778.4052      157.29195     -2674.6888    
     97000   309.30671      20.884721      4446.8769     -4419.5312      35.308467     -2675.0512    
     98000   306.74882     -1152.1062      1143.7906     -4700.2309      100.12168     -2674.8       
     99000   287.1424       266.83991      2681.8037     -1731.8196     -149.46438     -2676.3846    
    100000   287.77559      1807.3663      7893.8584     -2369.1963     -102.56307     -2677.0231    
