   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50094   300            5072.4929      9610.2753     -11209.358      16816.562     -2706.5452    
     51000   287.412       -22.62998       6229.8533     -20502.888      14205.145     -2694.122     
     52000   295.67163     -9246.255      -10827.352     -31146.651      14235.238     -2694.5892    
     53000   302.65879      2976.6872      13704.142     -19821.077      15046.996     -2693.7151    
     54000   295.86721      5402.1793      21408.122     -19924.62       14723.035     -2692.925     
     55000   308.36609     -4426.1494     -2317.2117     -24869.651      13908.414     -2691.9933    
     56000   317.82809     -3220.5231      4635.192      -28121.377      13824.616     -2691.3816    
     57000   299.52519     -2631.3495     -688.299       -22756.449      15550.699     -2693.6612    
     58000   291.01791      3142.3654      4086.8923     -9718.5369      15058.741     -2693.9643    
     59000   280.16415      1944.6549      3011.3304     -11962.329      14784.963     -2694.2711    
     60000   302.6048       3163.8963      5098.548      -10825.056      15218.197     -2693.3554    
     61000   300.80555     -4455.2399      3.139667      -28497.685      15128.825     -2692.849     
     62000   315.42463     -3743.4302      3041.8813     -28687.745      14415.574     -2692.4831    
     63000   303.94431      6838.8354      10030.188     -4898.8473      15385.165     -2693.7096    
     64000   299.19368     -3177.5056      3412.2572     -27631.591      14686.818     -2692.8182    
     65000   315.75293     -6339.2225     -2350.9799     -31404.796      14738.108     -2691.7926    
     66000   327.34616      5150.8842      21955.539     -22186.861      15683.975     -2692.2987    
     67000   305.3653      -1030.0876      11986.93      -30342.594      15265.402     -2692.612     
     68000   306.85722      8444.6828      14864.14      -5069.3282      15539.236     -2692.9298    
     69000   294.53568      390.60527      4262.6407     -18534.319      15443.494     -2693.9143    
     70000   305.21305     -10830.123     -10631.623     -36966.269      15107.524     -2693.2488    
     71000   295.08172      1822.6345      9578.5819     -19077.968      14967.289     -2692.4667    
     72000   337.24059      7525.0762      21649.154     -15221.548      16147.623     -2690.4715    
     73000   309.6852      -3738.4409     -793.60625     -25099.905      14678.188     -2692.7747    
     74000   317.81757      10608.317      26070.824     -10738.055      16492.181     -2693.2087    
     75000   295.331       -4791.0379     -4900.7964     -24464.447      14992.13      -2693.4168    
     76000   288.57976     -12354.319     -9053.3418     -41652.048      13642.432     -2693.2088    
     77000   276.62262      5724.2599      20447.855     -18607.749      15332.673     -2693.474     
     78000   327.02666      2380.9829      16552.135     -24012.347      14603.161     -2691.363     
     79000   322.53514     -268.37395      9200.043      -24481.308      14476.143     -2691.5569    
     80000   309.81383      7589.7818      11979.806     -5543.9132      16333.453     -2692.0395    
     81000   325.58861     -7575.7044     -7212.976      -30755.355      15241.218     -2692.4034    
     82000   306.01851     -3534.2455      7531.3235     -33108.961      14974.901     -2693.2206    
     83000   283.76886      8669.4424      28529.314     -17856.474      15335.487     -2693.4478    
     84000   288.93013     -5069.6087      1445.1223     -30525.281      13871.333     -2692.6152    
     85000   300.46044     -2375.6975     -4805.9453     -16910.125      14588.978     -2691.7129    
     86000   295.47766      6493.1507      13351.266     -9856.3961      15984.582     -2692.3348    
     87000   310.01182     -9188.0363     -8845.2639     -33651.49       14932.645     -2692.7549    
     88000   288.22251      2339.8966      8166.7562     -16376.053      15228.987     -2693.821     
     89000   305.84463      8060.7679      17808.1       -9280.6461      15654.85      -2692.1795    
     90000   316.596       -9048.4121     -7220.53       -34056.912      14132.206     -2691.7979    
     91000   321.63257      2025.1675      7387.1392     -16296.715      14985.079     -2691.4738    
     92000   297.65121      2002.497       8555.5182     -17574.209      15026.182     -2693.3684    
     93000   287.69252     -7372.8092     -7475.6177     -29146.754      14503.944     -2693.4195    
     94000   299.47877      6449.9591      18977.678     -14838.273      15210.472     -2693.137     
     95000   315.98819      314.41652      5345.0685     -20042.488      15640.669     -2692.072     
     96000   310.95705     -10411.454     -12274.336     -32634.361      13674.336     -2692.4268    
     97000   323.21904      9295.3544      17966.93      -6313.2514      16232.384     -2692.4889    
     98000   302.89938      2441.0798      4336.6508     -11490.313      14476.901     -2693.6121    
     99000   326.73679     -9705.8016     -4697.3572     -39575.996      15155.949     -2692.1768    
    100000   294.04287      4955.8494      9394.3307     -9517.3492      14990.567     -2693.0672    
    101000   295.72904      3374.4227      7152.2504     -12650.699      15621.717     -2692.9591    
    102000   296.30699     -12953.96      -14419.425     -37455.877      13013.421     -2692.1291    
    103000   298.56818      8187.9074      19200.23      -9829.7358      15193.228     -2691.9336    
    104000   301.08318      935.87779      7943.7158     -19366.669      14230.587     -2692.9635    
    105000   274.55805     -9372.6126     -1989.6666     -40799.069      14670.898     -2693.6525    
    106000   294.77357      8206.2545      16714.242     -7210.0365      15114.557     -2693.5361    
    107000   284.44198      118.90819      3927.1368     -18614.866      15044.454     -2692.569     
    108000   306.72757     -8916.2656     -5640.8721     -35790.208      14682.284     -2693.7456    
    109000   288.78924      8848.6867      22651.199     -12227.165      16122.026     -2694.0875    
    110000   302.72441     -7506.4913     -11885.464     -25272.535      14638.525     -2692.8985    
    111000   270.76959     -7044.4646     -5528.5496     -29426.089      13821.245     -2694.1184    
    112000   289.17779      10455.267      18261.886     -2828.5186      15932.434     -2694.1712    
    113000   286.28193     -2624.9965      8742.4416     -31083.697      14466.266     -2693.4816    
    114000   284.46395     -5415.5642      8899.155      -38749.64       13603.792     -2692.8089    
    115000   300.33679      4205.0729      9210.9092     -11589.38       14993.69      -2693.3537    
    116000   281.98363     -4084.4394     -6913.4231     -19873.647      14533.752     -2694.5245    
    117000   278.0068       416.56984      10977.64      -23623.148      13895.217     -2694.016     
    118000   306.52878      5810.9189      19802.601     -18739.115      16369.271     -2693.6143    
    119000   316.24152     -8152.4251     -4660.6333     -34458.934      14662.292     -2692.9156    
    120000   314.75093     -83.110579      5848.1147     -20732.538      14635.092     -2690.8425    
    121000   315.83062      11060.351      17051.826      121.22865      16007.998     -2693.603     
    122000   289.07137     -3477.1123     -280.6695      -24687.787      14537.12      -2694.0329    
    123000   280.37792     -3760.2738      2859.1498     -28245.083      14105.112     -2694.6301    
    124000   301.54349      5323.819       7780.1836     -7846.9491      16038.223     -2693.6442    
    125000   292.5218      -6395.0135     -1691.1154     -31472.904      13978.979     -2693.0528    
    126000   300.74697      6427.8961      18044.361     -14045.986      15285.314     -2692.2353    
    127000   333.86879      3046.426       8957.8256     -14645.958      14827.41      -2691.5121    
    128000   299.28739     -8896.1831     -3290.6613     -37566.586      14168.698     -2692.3494    
    129000   296.11548      3473.622       23172.279     -28490.18       15738.767     -2693.1941    
    130000   307.10622      4330.1358      17015.279     -19173.152      15148.28      -2693.5024    
    131000   279.61929     -4921.9324      2186.529      -30432.256      13479.93      -2692.6816    
    132000   318.05115      6161.4514      14552.742     -11622.996      15554.608     -2691.9166    
