   
   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   187.17368      2680.5751      6106.7071      1995.4833     -60.465038     -2686.3617    
     52000   239.09718     -500.98381      1359.9822     -2908.4377      45.504095     -2681.2891    
     53000   280.4159      -2668.832      -4803.3054     -2927.9        -275.29049     -2675.9715    
     54000   313.87697     -2875.8796      711.51009     -9044.0837     -295.06523     -2673.405     
     55000   292.9024      -554.62234     -6634.5989      5020.0741     -49.342137     -2675.5721    
     56000   306.25766      2930.0745      2928.7871      5621.0238      240.41243     -2676.8021    
     57000   321.43086      2379.5489      2804.3701      4036.9858      297.29085     -2675.2193    
     58000   326.68853     -2382.3526     -6524.9546     -660.0393       37.93603      -2674.1698    
     59000   294.71968     -164.45356      302.93231     -920.26776      123.97477     -2676.0105    
     60000   296.13254      999.48696      289.73929      2743.5556     -34.833984     -2676.4872    
     61000   307.52682      2637.0542     -5102.4409      9199.9268      3813.6766     -2692.7915    
     62000   303.32516      6502.472       13070.524      6636.6822     -199.78994     -2692.4238    
     63000   289.54541     -699.14443      484.31445     -1952.0671     -629.68064     -2694.0832    
     64000   297.80583     -7539.3485     -7530.5418     -10758.123     -4329.3813     -2693.73      
     65000   310.13822     -6013.4409     -11631.944     -6803.1045      394.72554     -2692.0483    
     66000   300.35147      6317.001       2353.3517      16013.071      584.58        -2693.337     
     67000   313.70247      5135.8844      9681.6871      6189.5968     -463.63077     -2693.7305    
     68000   302.30835     -5677.0068     -6916.4203     -9850.0738     -264.52611     -2693.5447    
     69000   289.74075     -12219.478     -7997.0981     -27244.033     -1417.3047     -2692.741     
     70000   336.32511      1730.2134      3059.4456      6079.5262     -3948.3316     -2691.0522    
     71000   294.65353     -3171.7763      4819.4952     -13936.114     -398.71021     -2693.3841    
     72000   293.58411      4271.7755     -19490.588      28953.804      3352.1106     -2693.734     
     73000   307.33983      2607.908       14694.735     -3455.1818     -3415.829      -2692.1152    
     74000   286.33753     -44.412002      6932.8641     -2555.8917     -4510.2084     -2692.7667    
     75000   289.372       -5770.5249     -1825.9248     -12229.41      -3256.2396     -2693.9455    
     76000   298.39288      5011.4858      19462.708     -2829.6609     -1598.5894     -2692.7963    
     77000   326.28568     -2005.7721     -4129.5598     -2729.2951      841.53852     -2692.4558    
     78000   279.72656     -2069.1413     -6507.3854     -4965.894       5265.8555     -2694.4795    
     79000   299.03133     -5657.0898     -12202.671     -8928.3597      4159.7617     -2693.0356    
     80000   314.29244     -6007.4914     -12217.516     -7879.5176      2074.5592     -2692.8677    
     81000   290.76595     -849.44931     -13141.305      8876.2443      1716.7132     -2693.5342    
     82000   294.64631     -1162.6783      3071.7929     -5670.9472     -888.88068     -2693.4357    
     83000   304.75172      11664.68       6969.0881      27957.135      67.818781     -2693.1546    
     84000   297.58604      3739.0875      2957.3138      6730.4709      1529.4779     -2692.0453    
     85000   299.09718      11041.086      9821.0139      22868.297      433.94622     -2693.3818    
     86000   304.25875     -2669.86       -16912.642      8410.1143      492.9475      -2694.0897    
     87000   330.28839     -10089.28      -27038.247     -3518.1206      288.52703     -2692.2131    
     88000   300.25691      3115.488       10366.955     -1875.14        854.64916     -2691.9404    
     89000   292.52388      3610.128      -1956.0575      12052.769      733.67259     -2694.045     
     90000   286.63919     -2727.3364     -3890.0695     -3973.0498     -318.88979     -2693.4317    
     91000   313.66811      6355.5995     -1182.1084      22466.626     -2217.7195     -2692.2407    
     92000   296.22904     -6006.4207      21404.709     -36665.432     -2758.5393     -2693.2882    
     93000   286.99383     -5587.9494     -4163.6626     -9007.302      -3592.8835     -2694.3108    
     94000   309.36216      13129.983      32330.552      6662.7261      396.67076     -2692.6265    
     95000   309.49918      16775.235      18708.92       27289.389      4327.3966     -2692.6133    
     96000   308.68564     -5527.7048     -13917.793     -6444.5788      3779.2574     -2693.2978    
     97000   289.45618     -1440.7266     -14038.412      8547.6199      1168.6119     -2694.7224    
     98000   268.74286      823.50019      15039.296     -13081.629      512.83384     -2695.6863    
     99000   301.34771     -1127.8228     -15113.675      11586.064      144.14263     -2693.4984    
    100000   310.69831     -4444.2799     -11927.847     -1280.3703     -124.62198     -2692.922     
    101000   283.68958     -5968.4124     -4522.6537     -11914.683     -1467.9002     -2693.691     
    102000   286.63015      1855.8254     -6206.6624      12629.906     -855.76687     -2694.7069    
    103000   320.0145      -9425.5867     -1587.8468     -22514.465     -4174.4482     -2692.3917    
    104000   313.26636      4364.7238      7351.2568      2678.1337      3064.7808     -2693.2199    
    105000   297.23199      901.4599       4314.288      -2621.9809      1012.0726     -2694.3638    
    106000   295.08014     -2990.0576     -5916.8661     -4526.6292      1473.3225     -2694.7286    
    107000   285.32284     -2640.3767     -8868.1161      2723.974      -1776.9878     -2692.7437    
    108000   299.0797       8736.5053      16456.147      10796.859     -1043.4896     -2692.6549    
    109000   297.80107     -2272.9956     -16045.355      12141.557     -2915.1886     -2694.4982    
    110000   302.98059      1276.869       214.4333       5034.1362     -1417.9624     -2693.8152    
    111000   308.11592     -5421.1506      2014.3928     -18060.468     -217.37629     -2693.0662    
    112000   294.29855     -8665.4586     -9112.6902     -15430.571     -1453.115      -2693.0622    
    113000   296.8638      -4071.0313     -20121.063      10991.909     -3083.9398     -2693.4249    
    114000   307.2802      -10813.855     -9951.1625     -19894.384     -2596.0193     -2693.2404    
    115000   309.50689      4071.198       11270.195     -2439.294       3382.6935     -2692.1117    
    116000   297.03601      3256.6081      16070.011     -7770.5121      1470.3248     -2693.5941    
    117000   308.19109      8986.0377      13605.657      10833.835      2518.6212     -2694.0378    
    118000   311.60346      1148.7778     -2236.7486      5532.2978      150.78419     -2692.8049    
    119000   301.39022      5065.9248      4106.4711      15394.825     -4303.5221     -2691.955     
    120000   297.92474     -3841.4709      2381.6914     -9319.4231     -4586.681      -2693.5608    
    121000   284.29852     -11175.132      5478.8167     -37449.655     -1554.5588     -2694.1227    
    122000   296.29597      992.8003       6626.9539     -2049.5863     -1598.9668     -2692.5833    
    123000   295.85849      13300.597      16176.266      24257.538     -532.01387     -2693.2142    
    124000   277.62247     -2671.9071     -6734.6469     -1654.3086      373.23407     -2694.6981    
    125000   310.98973     -12806.722     -21197.979     -19249.614      2027.4254     -2693.1288    
    126000   295.90599     -2548.0463     -2373.1585     -6522.1686      1251.1881     -2692.8693    
    127000   292.32913      10777.451      7251.1458      24924.005      157.20139     -2694.7417    
    128000   292.28592      515.652       -13281.985      15662.555     -833.61365     -2693.9202    
    129000   294.14776     -1634.2916     -12550.799      9492.7329     -1844.8084     -2692.8868    
    130000   299.1622      -401.70513     -374.11904      2268.4894     -3099.4858     -2693.341     
    131000   280.74351      5295.3621      12540.905      5900.7771     -2555.5955     -2695.4912    
    132000   278.28502      3670.7336      13809.144      2563.2567     -5360.2004     -2694.2524    
    133000   312.41604     -3935.3469      1992.5192     -12185.226     -1613.3344     -2693.177     
    134000   319.13216     -746.34145      6334.3724     -8813.1034      239.70663     -2692.9523    
    135000   278.00263     -6732.9871     -13086.232     -6437.7374     -674.99193     -2694.9218    
    136000   299.97898      2677.8741      19388.295     -12265.207      910.53444     -2693.7208    
    137000   305.34858      3241.7027      7078.0786      3299.9684     -652.93891     -2693.2618    
    138000   284.45188     -4337.1386      1017.9441     -10832.06      -3197.2999     -2693.7958    
    139000   292.42083     -1165.2197     -8676.0047      9275.1929     -4094.8473     -2694.9369    
    140000   312.73199      5068.4671     -5355.2069      20048.098      512.51048     -2693.123     
    141000   308.83583      5745.0507      11469.019      3788.3436      1977.79       -2693.1636    
    142000   291.55122     -5315.8771     -9302.5199     -11568.608      4923.4962     -2694.4662    
    143000   282.09296     -9656.4362     -14791.973     -15937.085      1759.7487     -2694.7874    
    144000   297.89706      5338.2926      13830.417      431.05843      1753.4026     -2692.8222    
    145000   299.99374      1019.641      -2262.3578      5934.0671     -612.78622     -2693.1506    
    146000   281.98774     -10045.963     -24239.641     -4628.0234     -1270.2254     -2694.9001    
    147000   295.0671       925.56784     -41.578361      5685.8698     -2867.5879     -2693.5239    
    148000   310.6388       2984.2933      5333.7596      5042.7971     -1423.6767     -2692.7659    
    149000   290.09923     -1843.3444      6928.1648     -9838.6659     -2619.5322     -2693.8692    
    150000   293.34931     -11202.822     -15842.773     -15439.227     -2326.4672     -2694.4099    
    151000   316.21622     -1917.7525     -14070.445      10282.387     -1965.1997     -2692.2646    
    152000   308.34088      6307.6727     -7546.5291      23788.656      2680.8918     -2693.1108    
