   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   183.58657     -9.0491967      3830.9751     -3751.1908     -106.93194     -2686.356     
     52000   229.15777      1824.0758      6978.5016     -1530.6709      24.396757     -2681.2702    
     53000   280.96273     -876.10573      2798.7075     -5071.9235     -355.10123     -2676.0139    
     54000   320.4825       1269.2269      5718.0882     -1854.7742     -55.633292     -2673.4626    
     55000   291.25322     -2096.4605      781.03933     -6781.158      -289.2629      -2675.5647    
     56000   277.60166      3946.5077      12149.303     -358.49698      48.716908     -2676.8149    
     57000   292.42717      3942.6646      13308.777     -1370.8444     -109.93845     -2675.0384    
     58000   324.65406     -131.82142      7568.6963     -8227.6225      263.46187     -2674.3119    
     59000   294.50463     -2914.9304      92.648214     -9017.2334      179.79402     -2676.022     
     60000   274.13092     -617.81915      3835.3574     -5443.5725     -245.24234     -2676.344     
     61000   303.93801      998.76385      4837.6591     -1713.6385     -127.72901     -2674.7339    
     62000   301.39824     -1888.1826     -597.01883     -5110.536       43.006885     -2674.8891    
     63000   288.67896      924.55377      4154.0529     -1408.7497      28.358171     -2676.3985    
     64000   306.84384     -2460.9659      483.32406     -8096.2343      230.01252     -2675.1221    
     65000   312.37392      1085.0836      6724.4906     -3542.708       73.468313     -2674.3241    
     66000   303.33465     -1235.7218      2938.644      -6465.4664     -180.34307     -2675.6079    
     67000   293.90226      1582.1265      5789.3816     -1015.7902     -27.211977     -2675.7619    
     68000   326.74788      654.88833      5467.024      -3516.4328      14.073846     -2673.9033    
     69000   308.99121     -994.34382      1411.3179     -4319.7456     -74.603761     -2674.8518    
     70000   296.82093      1440.4061      7829.0849     -3494.0611     -13.805381     -2675.8434    
     71000   300.17276      462.41626      3840.4866     -2556.6891      103.45126     -2675.3125    
     72000   324.58108     -525.74452     -94.380425     -1523.1519      40.298807     -2673.5956    
     73000   306.80631      1628.4847      7198.2819     -2253.5102     -59.317538     -2675.1631    
     74000   297.41482     -738.0955       4371.8399     -6746.451       160.3246      -2675.6657    
     75000   292.6147      -1395.718       1255.2437     -5501.3797      58.982015     -2675.6271    
     76000   311.66386      2478.1348      4521.0491      2725.646       187.70919     -2674.3283    
     77000   296.58412     -295.83852      3548.9214     -4265.1503     -171.28668     -2675.5607    
     78000   284.75374     -4831.8871     -3629.0552     -10744.995     -121.6108      -2676.25      
     79000   306.73776      1769.0881      5249.811      -190.51358      247.96701     -2675.2401    
     80000   304.79863     -943.91074      2155.067      -4818.6567     -168.14256     -2675.1483    
     81000   292.56692     -319.12666      5367.8573     -5848.7243     -476.51296     -2675.4574    
     82000   295.24194      91.236206      4132.163      -4075.9525      217.49815     -2675.8433    
     83000   289.91049     -2419.5559      1106.26       -8415.6727      50.74496      -2676.0347    
     84000   313.80225      775.18006      6314.4465     -3962.7771     -26.129187     -2674.6804    
     85000   299.3722       1693.2552      7861.5112     -2806.1197      24.373987     -2674.9197    
     86000   290.97168      312.1214       5105.6821     -4297.6631      128.34516     -2676.5007    
     87000   315.38533      1579.7741      4348.5508      104.78528      285.98631     -2675.2594    
     88000   299.20353     -1335.2604      3327.4983     -7291.4889     -41.790459     -2674.8462    
     89000   286.00421      652.67773      7000.2311     -5214.5293      172.33146     -2677.219     
     90000   295.38473     -386.99234      4955.4643     -6539.4275      422.98617     -2676.8126    
     91000   304.93275      2376.503       5955.7683      1008.5305      165.21024     -2675.0033    
     92000   306.41848      1813.5914      4597.7727      909.65397     -66.652442     -2675.0443    
     93000   281.34991     -786.81664      2198.5912     -4283.3982     -275.64293     -2676.9277    
     94000   296.99537      2941.4253      8926.2986     -422.18669      320.16398     -2675.893     
     95000   306.84973      2004.1049      7055.3336     -991.10167     -51.917242     -2675.4245    
     96000   290.89045     -5004.2946     -3570.3492     -11367.233     -75.301859     -2675.3384    
     97000   297.72662     -2706.6534     -460.0796      -7747.4938      87.613313     -2676.1271    
     98000   300.37274      2226.6701      4868.7683      1754.2384      57.003454     -2676.1413    
     99000   287.41967      202.40862      2026.079      -1181.1337     -237.71939     -2674.4274    
    100000   297.05098      321.92661      8102.2561     -7247.8458      111.36946     -2675.4823    
    101000   292.13073      1061.9934      10035.329     -6756.8764     -92.47283      -2676.2044    
    102000   310.23455     -2542.0428      484.56219     -8132.9723      22.281873     -2675.3359    
    103000   322.98185      1889.5307      6247.2415     -509.6042      -69.045248     -2674.4743    
    104000   282.27497     -2004.1131      1618.1738     -7212.2745     -418.2385      -2676.3098    
    105000   293.13399     -742.12361      3181.8033     -5530.5707      122.39656     -2676.1681    
    106000   300.60107      3320.3291      9492.9026      691.10631     -223.02174     -2674.5789    
