   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   176.54427      2721.4837      6316.8995      1922.7427     -75.191057     -2687.2217    
     52000   215.56244      669.44961      2252.2919     -297.57934      53.636242     -2683.7413    
     53000   239.13911     -1129.1824     -987.77197     -2093.0376     -306.73774     -2679.6449    
     54000   293.24709     -2643.1494     -219.22419     -7550.2894     -159.93453     -2675.7513    
     55000   329.17892     -622.10102     -4060.0543      2024.6649      169.08636     -2673.5693    
     56000   310.96848      2346.5543      1715.7556      5176.331       147.57629     -2674.1924    
     57000   304.44748      421.94991      769.67552      321.38107      174.79313     -2676.3443    
     58000   298.63091     -965.89614     -3404.8309      517.7784      -10.635912     -2676.9265    
     59000   291.32164     -4166.0789     -5901.2033     -6634.8402      37.806601     -2675.4696    
     60000   317.76923     -1207.3817     -2765.2588     -862.86881      5.9824429     -2674.3352    
     61000   300.57        -236.90409     -4963.6096      4325.5337     -72.636311     -2674.7252    
     62000   276.53993      1212.1289     -65.841516      3723.5711     -21.342901     -2676.3699    
     63000   287.96137      980.29695      6054.016      -3202.758       89.6328       -2676.3711    
     64000   304.88044     -330.32348      1142.0972     -2114.9229     -18.144699     -2675.2955    
     65000   302.41827      442.6734       2393.4835     -886.10612     -179.3572      -2674.5209    
     66000   302.3554       1678.8531      2271.4186      2757.436       7.704702      -2675.2094    
     67000   284.37749     -1768.7522     -5319.6692      22.928328     -9.5155986     -2676.3543    
     68000   284.53454      225.98439      2977.2761     -2054.6984     -244.62454     -2676.0927    
     69000   320.72172      2508.0317      10699.636     -3299.2437      123.7031      -2674.0984    
     70000   307.07277      1826.0525      5279.7712      137.20189      61.184473     -2674.5809    
     71000   302.50579     -155.51821      3406.2041     -3894.5303      21.771574     -2675.5847    
     72000   293.56759      1732.6071      877.9959       4413.0473     -93.221742     -2675.7581    
     73000   301.77682     -3782.6077     -10338.217     -1324.9387      315.33309     -2675.5804    
     74000   321.42999     -4039.6557     -1850.0056     -1700.1307     -8568.8309     -2691.3271    
     75000   324.71107     -1605.4076     -14523.251      11744.235     -2037.2076     -2691.0578    
     76000   299.48781     -7884.3053     -9545.5791     -16481.861      2374.5246     -2692.9482    
     77000   302.54629     -7104.8362     -12033.001     -9558.4328      276.92574     -2693.7927    
     78000   293.27057     -2993.4454      7195.529      -16537.08       361.21486     -2693.8684    
     79000   325.50115     -5540.997      -12569.186     -2180.015      -1873.7897     -2692.6225    
     80000   309.56035      5451.5765      6844.7221      12381.815     -2871.8079     -2691.7978    
     81000   319.06486     -6471.7083      11110.626     -27475.998     -3049.7522     -2693.0204    
     82000   305.1061      -330.25158      11609.161     -9924.9074     -2675.0079     -2693.4349    
     83000   295.18978      9819.0356      22566.487      6276.6317      613.98797     -2693.595     
     84000   300.84383     -1754.5519      3937.3783     -10517.559      1316.5253     -2692.6911    
     85000   312.71074     -8710.3688     -24952.069     -3201.8498      2022.8124     -2691.5662    
     86000   289.18608     -3817.7397      4839.326      -20256.837      3964.2923     -2693.3849    
     87000   296.32052     -4833.1288     -5056.3291     -9057.2204     -385.83677     -2693.9067    
     88000   302.48125      6779.471       10809.148      9148.6661      380.59893     -2693.3637    
     89000   310.48773      1741.6576      811.49811      6540.473      -2126.9983     -2692.2857    
     90000   324.39509      309.25531      3888.1062     -1576.3458     -1383.9944     -2691.7706    
     91000   300.12167     -3583.846      -10669.256      2749.5557     -2831.8379     -2693.4713    
     92000   288.02411     -7015.6572     -759.09124     -16800.161     -3487.7197     -2694.0072    
     93000   306.22896     -3928.1481     -15311.677      295.36848      3231.8641     -2693.3893    
     94000   331.46274      642.99492      14322.483     -8591.3773     -3802.1209     -2691.9614    
     95000   292.76301     -2141.6468     -3866.7499     -1720.8746     -837.31581     -2692.7773    
     96000   292.28069      7485.818       18615.127      6245.6395     -2403.3129     -2694.2464    
     97000   305.02572      7949.0982      11551.933      13535.583     -1240.2215     -2693.8205    
     98000   315.55798      6007.7276      4029.1874      14561.426     -567.43083     -2692.6511    
     99000   315.19602      8988.9604      7947.6489      19442.048     -422.81538     -2692.5326    
    100000   285.00396      14350.02       744.26175      40237.04       2068.7594     -2694.171     
    101000   291.58421      1367.014       10748.166     -8305.1842      1658.0602     -2694.5074    
    102000   307.07096     -519.72787      11104.678     -11490.027     -1173.8346     -2693.5541    
    103000   312.38474      11506.278      18613.079      15284.888      620.86802     -2693.021     
    104000   289.17409     -6478.105      -16047.453     -547.27369     -2839.5883     -2693.0811    
    105000   293.1802      -15122.549     -28128.749     -15978.387     -1260.5116     -2694.5748    
    106000   276.47861     -6185.3821     -19565.305      3317.7848     -2308.6265     -2695.0488    
    107000   301.88682     -9655.2787     -14014.927     -13890.81      -1060.0988     -2693.6102    
    108000   298.43743     -1834.8373      688.54782     -3348.7485     -2844.3114     -2693.0211    
    109000   302.7564       8959.3147      22681.864      6366.7065     -2170.6262     -2692.9608    
    110000   291.26602      1163.0445      4786.0384      319.13813     -1616.0431     -2694.3507    
    111000   280.46442     -2753.9712     -5568.8979     -3566.3316      873.31595     -2694.9174    
    112000   304.13628      1540.1882      2609.7386     -1733.8785      3744.7045     -2693.4972    
    113000   312.88805     -2786.365      -6926.4963     -2232.2488      799.65013     -2693.156     
    114000   294.7544       818.02679     -7396.8549      5542.2291      4308.7062     -2693.1861    
    115000   290.52789      6180.6794      22751.551     -9390.3738      5180.8607     -2694.1224    
    116000   292.90585      4674.5863      4424.2157      8702.0675      897.47555     -2695.1212    
    117000   311.79681      969.24935      108.44078      6461.3415     -3662.0343     -2693.2142    
    118000   313.06546     -2471.9734      3506.9324     -7592.7312     -3330.1214     -2692.7676    
    119000   304.14638     -1345.2626     -30.373327     -985.58279     -3019.8318     -2693.444     
    120000   278.83676      6382.1356      9655.6725      13831.077     -4340.343      -2694.5095    
    121000   282.73647      8072.5204      8717.9058      14137.153      1362.5027     -2694.4009    
