   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   152.70704     -43.155158      3984.2036     -3980.0147     -133.65438     -2688.9652    
     52000   150.99722      2498.1451      8171.2345     -692.22622      15.42698      -2688.9483    
     53000   141.20586     -2572.7173      1888.7077     -9367.3189     -239.54072     -2688.9464    
     54000   165.70236      525.16066      4976.7934     -3692.0348      290.72334     -2688.9662    
     55000   157.38976      1393.5071      5969.5688     -1855.5541      66.506513     -2688.939     
     56000   153.12897     -1999.0569      697.53402     -6705.6528      10.948159     -2688.899     
     57000   152.75905      696.93614      4489.5804     -2508.0218      109.24978     -2688.8868    
     58000   163.40197     -25.476751      4480.6534     -4637.5318      80.448207     -2688.8909    
     59000   167.04508     -1443.9355      4379.7995     -8762.5633      50.957211     -2688.879     
     60000   147.69736      385.35197      6608.7332     -5491.3311      38.653835     -2688.8749    
     61000   154.24075     -70.97827       4438.4782     -4643.5263     -7.8866677     -2688.8647    
     62000   158.12716     -356.87269      4093.449      -5109.6891     -54.377936     -2688.8681    
     63000   154.52578      1193.2738      5172.0933     -1587.9112     -4.3607335     -2688.8518    
     64000   147.71444     -215.56586      4788.4771     -5354.0173     -81.157402     -2688.8447    
     65000   146.5344       587.26337      6216.5887     -4352.5172     -102.28146     -2688.8319    
     66000   156.78065     -3630.7752      447.4254      -11394.399      54.648012     -2688.7852    
     67000   153.29403      315.87092      5644.2284     -4605.0575     -91.558161     -2688.8213    
     68000   157.60072     -2482.6557      643.31104     -8192.5432      101.26509     -2688.7818    
     69000   153.55988      2242.1482      8285.3024     -1586.7571      27.899351     -2688.7785    
     70000   151.38487     -58.886335      6415.0549     -6603.5575      11.843672     -2688.7745    
     71000   165.75827      1492.4436      9004.391      -4757.2425      230.18216     -2688.7586    
     72000   163.29723     -55.0552        4712.0194     -4936.6335      59.448557     -2688.7526    
     73000   155.96274     -3635.4022     -433.68066     -10478.946      6.4202585     -2688.7193    
     74000   162.41353      1229.0569      6081.7618     -2515.2748      120.68368     -2688.7694    
     75000   163.56312     -762.83622      2886.8721     -5096.1313     -79.249437     -2688.7629    
     76000   152.00667      1669.5855      5132.229      -52.239625     -71.232949     -2688.7491    
     77000   150.19748     -1014.3374      1733.3568     -4720.8219     -55.547097     -2688.7407    
     78000   153.95129      1751.9663      7102.2096     -1717.9875     -128.32326     -2688.7118    
     79000   150.27262     -3553.4377     -124.93244     -10593.906      58.525039     -2688.6824    
     80000   151.92388      667.14364      5820.526      -3811.0032     -8.0918351     -2688.6913    
     81000   156.09752      2781.2589      7819.2113      596.9037      -72.338126     -2688.6851    
     82000   156.29581     -3958.2368     -3752.7185     -8113.1997     -8.7922874     -2688.7015    
     83000   160.45881      3081.9127      7543.2186      1835.6838     -133.16425     -2688.7155    
     84000   155.32087     -537.15343      2933.3714     -4601.8647      57.032951     -2688.7333    
     85000   151.76228     -1992.2881      926.03        -6897.0446     -5.8497031     -2688.7222    
     86000   153.26248     -495.37244      2916.6202     -4480.5749      77.837353     -2688.7328    
     87000   151.73161      2162.5016      5813.4245      713.81235     -39.732059     -2688.718     
     88000   160.26845     -734.18965      1511.8104     -3607.5702     -106.80923     -2688.6995    
     89000   160.22961     -362.45778      1970.8451     -3082.8378      24.619355     -2688.6756    
     90000   150.48382      3042.8097      6006.3339      3210.2702     -88.175041     -2688.6531    
     91000   152.98463     -1901.9918      88.272685     -5793.2762     -0.97190016    -2688.6777    
     92000   164.59996      900.43237      3342.0667     -806.98019      166.21059     -2688.6759    
     93000   155.04138     -1110.1099      2335.3879     -5681.9032      16.18572      -2688.6463    
     94000   156.68671      1675.362       6547.6824     -1544.6991      23.102526     -2688.6238    
     95000   155.05258     -2014.6738      671.4816      -6613.0973     -102.4058      -2688.609     
     96000   148.82266      1961.4118      7431.1799     -1423.621      -123.32357     -2688.5981    
     97000   153.74337     -2957.8198     -688.17223     -8167.7429     -17.544284     -2688.5446    
     98000   158.3291       170.5802       4849.5922     -4212.0137     -125.83796     -2688.5824    
     99000   153.12053     -158.04057      4036.1714     -4393.4495     -116.8436      -2688.5702    
    100000   164.84612     -20.225378      3057.9203     -3302.3249      183.72843     -2688.5703    
    101000   153.12598     -1519.7464      2256.3151     -6640.9624     -174.59191     -2688.5521    
    102000   158.49945      1938.2606      7463.4029     -1775.1231      126.50203     -2688.5433    
    103000   150.17973      3344.6125      8911.5032      1260.0021     -137.66786     -2688.4945    
    104000   157.40399     -1586.2201      1153.7061     -5841.0299     -71.336456     -2688.5072    
    105000   161.00139      2949.2533      8629.3214      15.892108      202.5465      -2688.4731    
    106000   155.67917      73.026091      4351.9325     -4019.2978     -113.55645     -2688.4761    
    107000   162.67028     -2148.0315      1122.245      -7678.6287      112.28906     -2688.4457    
    108000   165.03305     -1544.6471      2947.0513     -7594.3134      13.320798     -2688.4316    
    109000   156.29488      697.47442      5767.972      -3694.4892      18.940503     -2688.4216    
    110000   159.83229     -2963.4355     -720.61397     -8026.9422     -142.75031     -2688.3613    
    111000   168.04678     -733.71711      3222.1176     -5581.8247      158.55583     -2688.381     
    112000   167.16501      280.17412      4783.4794     -4079.4775      136.52046     -2688.3981    
    113000   152.80024      1035.4608      7644.0609     -4601.9068      64.228445     -2688.3793    
    114000   164.60633     -1094.5982      4925.1943     -8296.2497      87.260935     -2688.368     
    115000   155.91337      2107.3949      8786.0281     -2424.1749     -39.668375     -2688.3519    
    116000   162.19797     -206.43928      4333.1285     -5005.9774      53.53101      -2688.3541    
    117000   155.79056      1628.8031      7887.8064     -2916.2062     -85.190865     -2688.2988    
    118000   162.06859     -86.74713       4244.369      -4420.1435     -84.466953     -2688.2938    
    119000   154.61922     -504.96933      3677.6723     -5068.8195     -123.76078     -2688.2846    
    120000   159.80066      473.14146      4133.1088     -2759.3674      45.683004     -2688.2714    
    121000   156.83532      805.66978      4172.0047     -1680.373      -74.62236      -2688.2686    
    122000   157.30429     -1532.325       795.71821     -5356.5284     -36.164699     -2688.2628    
    123000   169.50069      622.2367       3431.1083     -1649.403       85.004838     -2688.2648    
    124000   166.29137     -983.27633      2521.7816     -5551.9212      80.310526     -2688.2458    
