   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   161.84053      2799.2109      6644.8549      1844.9944     -92.216623     -2688.4193    
     52000   173.316        2064.6498      3963.6978      2166.2582      63.993553     -2687.489     
     53000   179.75941      719.60418      1781.6768      577.85695     -200.7212      -2686.284     
     54000   203.08336     -588.28166     -1301.2735     -565.30411      101.73263     -2684.8462    
     55000   229.8264      -2056.3465     -2638.1776     -3638.5083      107.64649     -2683.3       
     56000   224.25331     -2894.7763     -6675.1572     -2055.6475      46.475758     -2681.6386    
     57000   236.84924     -1358.026      -5453.8244      1417.1801     -37.433767     -2679.9672    
     58000   263.07139     -209.87188     -1035.3939      567.91754     -162.13925     -2678.4529    
     59000   302.82748      4258.3646      4862.3847      7756.3897      156.31937     -2676.7896    
     60000   291.96635      940.06245     -479.83283      3342.3456     -42.325449     -2675.5677    
     61000   323.32029     -1030.5559     -3254.5475     -11.319062      174.19892     -2674.4077    
     62000   319.28484     -3115.7866     -2787.0955     -6649.2142      88.949831     -2673.7235    
     63000   321.29428      430.49768      3498.9951     -2524.1024      316.6004      -2691.4314    
     64000   351.55734      4882.984       3526.8658      9312.6502      1809.4359     -2691.6718    
     65000   314.05956     -5729.2045     -4723.799      -13919.596      1455.7816     -2692.4028    
     66000   309.0296      -7018.201      -4800.9267     -16666.533      412.85623     -2693.1382    
     67000   286.70168     -227.32315      7585.4994     -7011.9798     -1255.4891     -2693.9439    
     68000   291.17989      7147.8956      6708.9696      11659.121      3075.596      -2694.5307    
     69000   280.28192      5281.9846      6552.1745      7833.6323      1460.1472     -2694.7697    
     70000   289.9534       4787.2984      13531.062     -782.12503      1612.9583     -2694.6812    
     71000   291.74691      7537.5855      10906.853      10204.102      1501.8017     -2694.3203    
     72000   291.99791      121.10162     -7939.4036      8818.9295     -516.22107     -2693.5674    
     73000   304.21288     -6619.9489     -9317.8071     -8514.1034     -2027.9361     -2692.803     
     74000   297.51177     -5603.7501     -13868.197     -2560.6552     -382.39811     -2692.2867    
     75000   307.2567      -7345.0877     -10090.492     -11518.697     -426.0741      -2692.0411    
     76000   308.90296     -5064.6989      5132.7711     -22313.139      1986.2716     -2692.16      
     77000   286.24729     -6276.0167     -19122.192      4975.9038     -4681.7614     -2692.5008    
     78000   303.5484       1526.535      -2201.8685      8389.6985     -1608.2251     -2693.1482    
     79000   288.40267      9411.9485      8967.1878      20913.655     -1644.9979     -2693.6139    
     80000   284.41226      11447.543      27314.436      7901.4664     -873.27491     -2694.1207    
     81000   285.7332       1896.6477     -5825.4458      11151.981      363.40774     -2694.4932    
     82000   286.04269     -14638.273     -25932.345     -20552.32       2569.8472     -2694.2506    
     83000   292.01353     -13212.835     -18364.999     -22170.655      897.14913     -2693.976     
     84000   271.64296     -7353.8022     -11608.786     -9718.5793     -734.04179     -2693.6453    
     85000   312.0497      -4355.8658     -23142.253      9097.7884      976.86733     -2693.0635    
     86000   282.96536     -7682.3581     -5406.2626     -16372.117     -1268.6945     -2692.6058    
     87000   311.55597     -4081.0836     -458.71307     -12224.967      440.42913     -2692.3819    
     88000   296.52844      6329.8927      2112.712       17251.996     -375.0297      -2692.4545    
     89000   324.02388      10061.525      5554.014       21840.275      2790.2866     -2692.6337    
     90000   306.1933       8477.9785      16367.864      8517.8459      548.2257      -2693.0955    
     91000   307.81849      11351.146      9426.3727      25306.708     -679.64321     -2693.5988    
     92000   297.54899      5864.8545      7812.2397      12009.996     -2227.6718     -2694.1053    
     93000   282.07316      768.17054     -14099.3        18145.707     -1741.8955     -2694.3084    
     94000   313.52446     -9035.1327     -12539.046     -13298.386     -1267.9663     -2694.2736    
     95000   292.91233     -7815.6088     -8890.4388     -11455.732     -3100.6559     -2693.8547    
     96000   283.99131     -4835.3185      10298.91      -19546.052     -5258.8139     -2692.9375    
     97000   305.99045     -565.82639      3745.1207     -1913.7755     -3528.8244     -2692.1891    
     98000   318.95407     -2249.9178     -1287.4708     -5200.9763     -261.30621     -2692.0368    
     99000   312.43379      2499.3779     -10755.556      19529.465     -1275.7761     -2692.2043    
    100000   306.52813      7139.3165      9806.4628      10266.431      1345.0561     -2692.6841    
    101000   310.1993       2516.7173      15157.849     -8760.1568      1152.4597     -2693.1171    
    102000   298.32769     -5569.6866     -9508.2774     -5434.3508     -1766.4315     -2693.4386    
    103000   293.83174     -12116.408     -13731.954     -22066.058     -551.21099     -2693.5331    
    104000   306.06722     -7086.3198     -1266.567      -18935.294     -1057.0984     -2693.8515    
    105000   292.44572      3898.3856      5334.1196      9207.9612     -2846.924      -2693.8563    
    106000   299.26442      5469.6076      7296.389       9385.7845     -273.35084     -2693.8229    
    107000   301.94716      9206.3213      9660.2912      19650.122     -1691.4488     -2693.369     
    108000   309.68765      17319.561      14956.342      37128.398     -126.05566     -2692.1968    
    109000   312.14598      4817.8222      6337.9046      9786.7563     -1671.1943     -2691.4063    
    110000   328.66418      2125.4105      2444.7784      7158.7999     -3227.3466     -2691.2533    
    111000   326.01806     -3098.0822     -21296.711      15048.309     -3045.8443     -2691.6761    
    112000   302.17176     -8621.3651     -14690.817     -8069.6482     -3103.6305     -2692.4203    
    113000   287.2906      -1276.5355     -796.63821     -887.04042     -2145.9278     -2693.0455    
    114000   276.03317      12517.368      12639.091      26065.209     -1152.1953     -2693.4102    
    115000   293.96131      7037.9444      14820.53       7779.5855     -1486.2821     -2693.5677    
    116000   305.14727     -3709.9447     -4019.9602     -6941.2527     -168.62102     -2693.7696    
    117000   303.8576      -377.8086      -1277.1581     -1948.3242      2092.0565     -2693.9239    
    118000   280.40006      8983.5321      9764.3105      14697.99       2488.2961     -2693.7663    
    119000   291.05445     -5423.2116     -27946.458      10863.412      813.41152     -2693.4536    
    120000   312.56767     -2446.1714     -375.24986     -8570.3078      1607.0434     -2692.7807    
    121000   309.96401     -698.50737     -10106.308      5963.0304      2047.7555     -2692.018     
    122000   324.86979     -6035.285      -10683.755     -7169.2714     -252.82898     -2691.7774    
    123000   307.2837      -2345.8343     -4814.2082     -566.95535     -1656.3392     -2691.9525    
    124000   317.42942     -2220.1177     -14388.345      9075.3518     -1347.3602     -2692.3854    
    125000   289.69026     -5456.342      -3122.7388     -11856.623     -1389.6637     -2693.0531    
    126000   304.3271      -5392.2654     -18971.328      7916.2103     -5121.6783     -2693.359     
    127000   294.90175     -2482.2414     -5783.286       3755.0915     -5418.5296     -2693.4876    
    128000   285.14892      1965.287       4773.5246      3575.4621     -2453.1257     -2693.675     
    129000   299.249        2083.6296      6967.1537      1193.6484     -1909.9133     -2693.5944    
    130000   301.93746      8592.2661      8865.0521      16335.787      575.95925     -2693.5367    
    131000   297.82449      4693.2128      19778.524     -7155.6222      1456.7367     -2693.3528    
    132000   301.01091      7398.3175      3538.1092      15829.156      2827.6872     -2693.0277    
    133000   316.28667      5417.7906      2793.7724      9461.2692      3998.3302     -2692.5078    
    134000   311.34108      4543.919       2593.2934      8243.8609      2794.6027     -2691.9971    
    135000   328.68939     -11714.551     -14677.985     -21401.76       936.09046     -2691.5766    
    136000   307.85028      2288.9933      18303.391     -11494.681      58.26915      -2691.7258    
    137000   327.60324      5278.4023     -1192.5031      16560.298      467.41197     -2692.3274    
    138000   306.48078      2862.5585      5774.3635      4462.1254     -1648.8133     -2693.3973    
    139000   294.62738     -18206.587     -26919.982     -25797.214     -1902.5639     -2693.7049    
    140000   296.77457     -1125.6245     -439.57973     -1942.1947     -995.09926     -2694.0602    
    141000   286.64865      1087.0003      19100.624     -13608.644     -2230.9788     -2693.9208    
    142000   309.22364     -435.97572      3196.1533     -1793.8941     -2710.1864     -2693.7269    
    143000   305.0348       4677.8251      17138.096     -3472.9347      368.31404     -2693.4159    
    144000   305.15055      8270.8321      22254.182      2915.9216     -357.60743     -2692.8887    
