   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   158.91653     -35.401107      3962.9914     -3937.2975     -131.89723     -2688.4241    
     52000   164.99166      2441.5342      8138.7071     -838.3295       24.225105     -2687.4723    
     53000   170.52209     -1911.6134      2605.6284     -8063.0335     -277.43496     -2686.2451    
     54000   196.46715     -112.12212      4194.2559     -4792.1656      261.5434      -2684.8039    
     55000   228.19384     -451.01053      4350.4394     -5846.0153      142.54431     -2683.2808    
     56000   244.03442     -3515.202       0.57169753    -10600.518      54.33987      -2681.6191    
     57000   250.61975      2300.2052      7821.4636     -853.41548     -67.432598     -2679.9549    
     58000   273.81818     -1068.0885      562.79971     -3899.6912      132.62592     -2678.331     
     59000   268.19933      3997.5767      9371.6411      2803.762      -182.67301     -2676.689     
     60000   302.72733     -1214.1578     -506.19447     -3046.5159     -89.762927     -2675.3578    
     61000   320.50612      2942.5081      7641.0032      1233.6616     -47.140435     -2674.261     
     62000   322.43491      4.7374206      3102.8153     -2971.6458     -116.9572      -2673.5351    
     63000   339.81817     -499.11762      2387.1249     -4121.4667      236.98888     -2673.3841    
     64000   328.35827     -1615.791       2532.4744     -7772.6104      392.76306     -2673.745     
     65000   317.98407      551.9595       6603.3366     -5061.0781      113.61998     -2674.5366    
     66000   298.09162      180.66848      5219.4512     -4447.3576     -230.08815     -2675.4778    
     67000   305.38888      1812.213       7429.5871     -2309.6196      316.6714      -2676.1766    
     68000   289.57531     -1432.9006     -29.533024     -4284.9451      15.77644      -2676.7667    
     69000   273.80152      2576.1758      6467.7813      1169.8022      90.943918     -2677.0042    
     70000   282.24752     -585.53551      3214.6158     -4690.1808     -281.04152     -2676.8957    
     71000   294.89398     -3577.7294     -458.83976     -10226.363     -47.986016     -2676.3789    
     72000   298.44799     -179.80296      1675.6192     -2350.0109      134.98287     -2675.7283    
     73000   300.32165     -1475.7771     -587.80525     -3798.3097     -41.216405     -2675.0089    
     74000   316.29013     -1448.3757      3414.8119     -7962.235       202.29593     -2674.5093    
     75000   317.49488      1077.9408      7651.7052     -4296.2666     -121.61626     -2674.2103    
     76000   308.15241     -1142.2442     -768.01542     -2627.9079     -30.809364     -2674.1906    
     77000   319.97112      1119.7545      5937.3018     -2498.0916     -79.946844     -2674.6071    
     78000   287.2467      -2221.4991     -2060.01       -4365.7077     -238.77945     -2675.1903    
     79000   303.23767     -1094.5058     -497.40245     -2805.7264      19.611352     -2675.8388    
     80000   279.08232     -2580.3075      997.12432     -8590.8045     -147.24243     -2676.2939    
     81000   294.58513     -58.179218      3671.2623     -3892.7923      46.992327     -2676.5998    
     82000   300.00995      49.836082      4560.6633     -4219.1769     -191.9782      -2676.5874    
     83000   288.0369      -2474.4609     -959.34832     -6339.7964     -124.238       -2676.3019    
     84000   297.15422      2202.2408      5342.764       1268.7607     -4.802227      -2675.8245    
     85000   306.89991     -563.62073      2309.0761     -4150.1532      150.21493     -2675.2783    
     86000   296.69755     -1642.6982      1717.2857     -6406.7996     -238.58081     -2674.7784    
     87000   300.50802      954.09086      4244.2052     -1144.5657     -237.36689     -2674.4569    
     88000   324.08269      1035.7082      4295.9694     -1296.7796      107.93482     -2674.4018    
     89000   303.84096     -4538.6913     -1696.2169     -12079.109      159.25234     -2674.5575    
     90000   309.13255     -829.63165      2819.0387     -5508.3557      200.42206     -2675.0563    
     91000   302.70332      2689.2261      9151.3905     -1155.937       72.224703     -2675.6784    
     92000   296.8793       560.57649      6005.9738     -4247.6774     -76.566892     -2676.0574    
     93000   290.58441     -1420.2126      1085.5937     -5583.2341      237.00254     -2676.3401    
     94000   290.54057      867.3708       3897.1026     -1216.3569     -78.63332      -2676.3691    
     95000   287.71188      1874.7616      4884.7237      815.94249     -76.38131      -2676.0954    
     96000   304.16909     -4979.9801     -2404.36       -12452.563     -83.016854     -2675.4076    
     97000   314.96308      4576.2818      13473.081      273.37275     -17.608245     -2674.473     
     98000   298.09941      1460.5441      7459.5374     -2918.1176     -159.78761     -2674.0561    
     99000   329.4076       1019.5994      7997.6326     -5094.2183      155.38376     -2674.1155    
    100000   298.16678      1262.4135      6131.272      -2195.3936     -148.63784     -2674.4356    
    101000   303.95419      376.2216       5053.7577     -4042.2627      117.1698      -2674.8565    
    102000   293.63497      2468.0528      9547.1829     -2161.799       18.774566     -2675.2659    
    103000   287.58338     -1107.9293      4366.3277     -7713.6965      23.580732     -2675.6009    
    104000   297.40204     -3028.647       2877.8108     -12077.084      113.33243     -2675.7852    
    105000   289.28193      1399.2882      6550.4609     -2140.5667     -212.02978     -2675.8271    
    106000   292.6606      -1333.6507      5772.9121     -9533.9488     -239.9155      -2675.8611    
    107000   292.83189     -3270.5578     -989.61147     -8711.2564     -110.80568     -2675.6958    
    108000   296.84827      2487.3799      4087.0058      3434.7216     -59.587773     -2675.3554    
    109000   324.17557     -106.83083      2897.7466     -3150.3171     -67.922053     -2674.3676    
    110000   326.74741      294.32046      1548.0879     -867.56666      202.44017     -2673.5384    
    111000   312.11734     -1026.6053      3170.9002     -5872.5473     -378.16881     -2673.4624    
    112000   314.27421     -428.79314      2926.6872     -4084.54       -128.52658     -2673.899     
    113000   309.48192     -651.709        4467.4452     -6318.091      -104.48123     -2674.6185    
    114000   316.19195      1401.1913      8334.1482     -4357.9406      227.36644     -2675.1852    
    115000   300.77383      1907.5403      7871.7703     -2011.969      -137.18042     -2675.5165    
    116000   302.12465     -2482.4854      1518.9545     -8834.1028     -132.3079      -2675.7569    
    117000   309.84655      2338.8978      7073.5764     -368.25931      311.37623     -2675.8023    
    118000   286.39237     -2018.9967     -1240.0263     -4692.7097     -124.25405     -2675.7493    
    119000   306.47459      768.32193      4896.0969     -2612.0849      20.953759     -2675.6921    
    120000   299.76442      1772.6015      7008.6796     -1755.702       64.827048     -2675.3398    
    121000   307.41428     -961.85832      2572.9721     -5582.4354      123.88831     -2674.7278    
    122000   297.55195      1486.9895      6511.6394     -1790.6435     -260.02741     -2674.0336    
    123000   312.03795     -3003.5839     -233.59306     -8539.6332     -237.52536     -2673.6709    
    124000   318.88309      181.78746      4928.9822     -4156.2521     -227.36767     -2673.8768    
    125000   329.85798     -2597.9242      389.43844     -8203.4424      20.23154      -2674.5527    
    126000   315.04171      2684.2965      6080.0772      1681.111       291.70132     -2675.4486    
    127000   298.67769     -2415.1345      167.80741     -7341.3249     -71.885942     -2675.749     
    128000   295.13623     -1876.3893      586.9267      -6329.7273      113.63276     -2675.8615    
    129000   303.97963      1646.8784      6178.2559     -1268.8531      31.232471     -2675.8918    
    130000   292.08533     -905.90448      2707.4667     -5289.2032     -135.97695     -2675.7915    
    131000   298.58567     -566.67508      4504.2133     -6275.7662      71.527589     -2675.574     
    132000   297.37366     -76.614634      5019.6475     -5051.4845     -198.00693     -2675.2329    
    133000   316.76977     -2599.0853     -170.03486     -7650.3111      23.090112     -2674.6474    
    134000   309.04319      2175.0856      6475.8918      91.554873     -42.189816     -2674.1594    
    135000   322.03231     -2231.155       400.72855     -7198.7314      104.53793     -2673.7787    
    136000   302.9137      -603.58209      3482.7193     -5177.5549     -115.91059     -2673.7589    
    137000   308.5499       390.64444      4853.9362     -3594.0357     -87.967194     -2674.2783    
    138000   304.79196     -613.25895      4029.6283     -5777.4225     -91.982657     -2675.3365    
    139000   285.71581      894.19709      6054.0404     -3455.1623      83.713096     -2675.9984    
    140000   297.67561     -684.5773       2456.0091     -4466.8599     -42.881058     -2676.241     
    141000   279.74561      692.95201      7096.1038     -5118.9453      101.69758     -2676.2609    
    142000   299.46356     -1490.6794      5893.6077     -10102.682     -262.96368     -2676.0673    
    143000   311.37648      1721.065       7606.8808     -2613.2956      169.60967     -2675.6451    
    144000   310.5215      -232.65994      4786.1251     -5730.4844      246.37943     -2675.111     
    145000   308.84126      3668.4087      8498.0333      2283.5014      223.69135     -2674.5423    
    146000   294.56514     -3941.8644     -1918.8276     -9681.8432     -224.92244     -2674.2392    
    147000   303.86977     -1297.1837      3472.4059     -7148.9368     -215.02024     -2674.2612    
    148000   307.45333      289.56949      6770.7403     -5895.5334     -6.4984232     -2674.7826    
    149000   296.46493      1320.4598      6237.4307     -2192.5596     -83.491822     -2676.0507    
    150000   267.2528      -2573.485      -142.82174     -7341.0445     -236.58891     -2676.5603    
    151000   284.07327      2444.1955      7102.9194      193.98782      35.67928      -2676.6442    
    152000   287.40782     -1496.5279      2873.3484     -7610.6048      247.67279     -2676.4096    
    153000   293.36534      205.04622      5323.8885     -4638.7748     -69.974986     -2675.94      
    154000   304.19039      1116.9457      4478.8802     -1313.0387      184.99554     -2675.4252    
    155000   301.33537     -1542.2954     -1247.5555     -3825.197       445.86625     -2674.9283    
    156000   314.53449      315.5184       2859.0735     -2023.5056      110.98728     -2674.7091    
    157000   297.81575      520.09569      4496.7232     -2747.3821     -189.05396     -2674.6793    
    158000   314.10849     -2055.6093      3134.6961     -9540.1465      238.62247     -2674.8607    
    159000   308.01293      509.49844      7690.4125     -6302.7433      140.8261      -2675.4066    
    160000   287.29396      165.91245      4772.4446     -4079.1112     -195.59598     -2676.3729    
    161000   293.60286     -2645.5973     -2034.754      -5805.4911     -96.546682     -2677.0007    
    162000   279.33013      3644.6494      10893.729      64.72795      -24.509311     -2676.9424    
    163000   273.38657      1329.4493      10289.997     -6071.7365     -229.91298     -2676.6881    
    164000   293.42393     -137.45728      6036.5652     -6236.6807     -212.25626     -2676.2325    
    165000   289.25105      3598.7388      8970.9309      2078.0004     -252.71469     -2675.7748    
    166000   284.91472     -97.987115      3846.567      -4018.6564     -121.87202     -2675.4256    
    167000   296.08004     -1000.4327      4529.1282     -7687.6217      157.19542     -2675.2194    
    168000   301.30652      2177.1745      8982.3379     -2488.5895      37.775212     -2675.1091    
    169000   294.12391     -33.723073      6202.3415     -6012.4378     -291.07287     -2675.0825    
    170000   313.46541      1136.5296      8335.7897     -4963.7176      37.516764     -2675.1712    
    171000   304.65169     -1285.2084      4347.1756     -8241.2785      38.477718     -2675.488     
