   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   163.78321      719.96914      5277.8743     -3359.3797      241.41278     -2688.3155    
     52000   156.84456     -1847.6091      1106.5754     -6307.7928     -341.61004     -2687.3685    
     53000   178.07763      1009.1894      4740.6702     -1859.9777      146.87566     -2686.1291    
     54000   199.74137      1053.4415      5708.8721     -2529.9185     -18.629223     -2684.727     
     55000   214.53651      668.43505      3125.9139     -1048.7771     -71.831655     -2683.1864    
     56000   238.47138     -1496.2191      2960.5681     -7238.2401     -210.98538     -2681.5712    
     57000   246.77028      1144.0441      5339.2051     -1978.3497      71.276905     -2679.8953    
     58000   270.46352     -1018.1189      434.00976     -3446.845      -41.521489     -2678.2665    
     59000   275.59197     -774.29566      4605.0119     -6888.1946     -39.704328     -2676.7111    
     60000   290.34551     -633.77048      3691.4475     -5404.1874     -188.57152     -2675.3472    
     61000   303.24638     -106.28364      2568.1033     -2897.297       10.342824     -2674.2558    
     62000   321.99966      681.68375      4807.9156     -2518.8295     -244.03485     -2673.5489    
     63000   313.80358      1721.6909      8113.908      -2799.638      -149.1972      -2673.31      
     64000   317.20172     -1156.8942      185.30206     -3628.0276     -27.957057     -2673.6179    
     65000   299.1785       236.35656      7783.0913     -6793.7341     -280.28744     -2674.3716    
     66000   287.59131     -2470.8638     -1662.8326     -5478.5964     -271.1625      -2675.2688    
     67000   285.186        120.17031      4642.1168     -4357.9017      76.295749     -2676.0624    
     68000   278.61104      91.764276      4067.8758     -3992.1065      199.52352     -2676.6101    
     69000   281.35562      1413.5455      6108.9695     -2003.283       134.94987     -2676.8437    
     70000   296.69082      1411.1577      7255.1113     -3130.8568      109.21867     -2676.7249    
     71000   299.81296     -443.24132      2390.5644     -3561.0181     -159.27029     -2676.2756    
     72000   301.69828      765.24878      7100.4922     -4770.7822     -33.963614     -2675.6111    
     73000   308.33553     -639.01688      2300.2687     -4076.161      -141.15833     -2674.935     
     74000   319.38829     -341.12136      2499.6753     -3536.9858      13.946466     -2674.3729    
     75000   318.63053     -618.77063      3333.5475     -5173.8358     -16.023615     -2674.0726    
     76000   307.28888     -1888.7881      1364.966      -6828.193      -203.13715     -2674.0898    
     77000   322.22099     -854.9708       2857.5748     -5208.954      -213.53324     -2674.4744    
     78000   303.27309      731.65807      7276.1463     -4983.5051     -97.667014     -2675.0396    
     79000   290.80308      488.62074      3244.5832     -1703.5243     -75.196621     -2675.6389    
     80000   298.4787       730.70528      4553.6161     -2454.9057      93.405363     -2676.1479    
     81000   297.55665      362.70642      3954.7482     -2800.4969     -66.132017     -2676.4385    
     82000   286.19395      35.012977      911.10866     -941.55778      135.48805     -2676.4508    
     83000   280.36271     -2254.3231      1564.1427     -8304.179      -22.933043     -2676.2103    
     84000   291.17215     -1392.0293      3847.0931     -7777.9452     -245.23584     -2675.7442    
     85000   283.85961     -1272.0385      4414.644      -7711.7209     -519.03865     -2675.195     
     86000   310.41625      2075.7277      6587.5274     -656.88623      296.54196     -2674.7097    
     87000   326.23339      2721.5943      7561.9715      306.22916      296.58208     -2674.4252    
     88000   320.0099       198.70212      6003.6724     -5510.7983      103.23226     -2674.3673    
     89000   295.35747     -938.13008      3440.633      -5921.6586     -333.36464     -2674.5948    
     90000   312.84057     -1310.6242      1227.2985     -5325.5037      166.33258     -2675.0787    
     91000   297.6711      -1112.0908      2005.6441     -5505.2783      163.36181     -2675.6381    
     92000   291.12838      852.41462      5859.1637     -3418.9801      117.06031     -2676.0839    
     93000   287.52649     -888.74864      2149.5352     -4582.2852     -233.49593     -2676.318     
     94000   291.24177      685.94777      2936.0741     -953.9827       75.751956     -2676.2935    
     95000   295.56492     -278.33562      3588.9864     -4194.5504     -229.44278     -2675.9894    
     96000   290.54265      870.71366      6254.2252     -3349.4535     -292.63073     -2675.1831    
     97000   311.18557     -104.04063      2523.0183     -2898.4506      63.310366     -2674.2934    
     98000   318.48249     -956.09039      943.03481     -4013.5803      202.27429     -2673.9979    
     99000   314.34306     -2496.9503     -391.52772     -7285.2606      185.93742     -2674.113     
    100000   311.99162     -1847.5135      2746.4737     -8168.7344     -120.27991     -2674.4757    
    101000   293.25921      353.64496     -724.95368      1930.3396     -144.45109     -2674.9197    
    102000   291.73413      1656.3669      8871.9782     -3934.2794      31.401879     -2675.3441    
    103000   301.28568      2029.5211      6370.2777     -358.23406      76.519757     -2675.6625    
    104000   274.19826      597.03639      8157.0493     -6352.9005     -13.039657     -2675.8013    
    105000   310.05456     -328.07765      2936.5638     -4127.6954      206.89863     -2675.845     
    106000   318.57879      235.16         4879.723      -4863.0977      688.8547      -2675.7256    
    107000   293.44022     -1465.771       1120.5544     -5474.5049     -43.362577     -2675.4533    
    108000   302.64327     -474.17588      3113.5774     -4612.9189      76.813915     -2674.7143    
    109000   312.1009      -495.73784      3679.7359     -4637.5815     -529.3679      -2673.5367    
    110000   320.32945      667.10862      5881.9976     -3703.2153     -177.45654     -2673.1661    
    111000   313.16045      2080.71        6389.9483      180.49127     -328.30947     -2673.4385    
    112000   307.01089      1646.1228      4199.2611      906.49266     -167.38523     -2674.0926    
    113000   308.08249     -325.984        5237.6913     -5998.1296     -217.51372     -2674.7595    
    114000   293.93036     -2331.587       447.78124     -7373.5965     -68.945845     -2675.2007    
    115000   306.01331     -3523.3194      1023.9621     -11819.187      225.26717     -2675.4977    
    116000   296.87827     -874.62747      3537.641      -6452.6667      291.14329     -2675.6949    
    117000   296.47261      109.16988      3293.6746     -2825.3187     -140.8463      -2675.7904    
    118000   291.80561      3666.7199      8117.7411      2812.9496      69.468887     -2675.7484    
    119000   284.86501      1720.0217      9858.2426     -4519.5042     -178.67329     -2675.4983    
    120000   323.64353      1492.2635      7890.8914     -3876.5551      462.45434     -2674.9236    
    121000   323.9469      -1098.3188      1271.5439     -4768.8942      202.39379     -2674.1167    
    122000   326.45557     -1856.375       306.40224     -5755.1057     -120.42156     -2673.6599    
    123000   319.22818     -2482.653       344.52857     -7604.3639     -188.12357     -2673.7133    
    124000   317.00979     -674.78212      5030.6278     -6962.3031     -92.67107      -2674.2321    
    125000   306.86555      1323.2598      6047.0437     -2384.5662      307.30185     -2674.967     
    126000   305.97739      2076.781       6762.7534     -709.8265       177.416       -2675.4056    
    127000   282.69544      2645.9504      11421.757     -3355.291      -128.61517     -2675.5306    
    128000   299.05356      2133.2182      7124.3423     -765.07752      40.389923     -2675.5973    
    129000   296.81017     -542.64564      1302.6498     -3097.2673      166.6805      -2675.5752    
    130000   299.96158     -2532.8473     -1998.9439     -5672.2004      72.602459     -2675.4734    
    131000   287.11797     -3489.4828     -2304.163      -7846.1977     -318.08782     -2675.2947    
    132000   293.00092     -1729.4458      646.46768     -5705.6514     -129.15351     -2675.0451    
    133000   300.51145      629.07711      4752.0151     -2424.1485     -440.63526     -2674.6263    
    134000   323.50837      2830.1186      9233.632      -834.48279      91.206438     -2674.1118    
    135000   315.87049      3719.1366      7976.5262      3204.4947     -23.611146     -2673.7397    
    136000   331.18912      666.37424      2456.5404     -571.39136      113.97368     -2673.7674    
    137000   307.72621     -602.09714      2946.7432     -4907.2088      154.17421     -2674.3139    
    138000   285.99811     -2034.6803      1973.0283     -7900.6361     -176.43304     -2675.2408    
    139000   287.47176     -2973.9707      1390.9202     -10327.059      14.227167     -2675.7912    
    140000   277.48365     -1353.736       2479.4267     -6241.4365     -299.19822     -2676.001     
    141000   296.80493     -218.6511       5753.1072     -6292.283      -116.77757     -2676.0214    
    142000   315.36064      2659.6164      8491.5177     -844.94473      332.27634     -2675.8311    
    143000   280.61348      2893.1192      10244.473     -1206.8673     -358.24842     -2675.4612    
    144000   313.21248      2607.6577      10380.019     -2690.2421      133.19584     -2674.9892    
    145000   307.64074     -607.95482      3692.446      -5200.9775     -315.33299     -2674.4099    
    146000   309.10578     -3000.183       1155.7147     -9836.348      -319.91562     -2673.8885    
    147000   321.37479     -3630.2526     -1226.8802     -9682.2706      18.393036     -2673.6072    
    148000   321.33544     -1462.793       1820.5982     -6397.1971      188.21975     -2673.8124    
    149000   309.22895      582.42174      4112.5504     -2187.2256     -178.05958     -2674.8702    
    150000   296.84332      3141.8985      7719.552       1980.9088     -274.76533     -2675.7433    
    151000   299.26811      3775.4011      10676.621      384.06554      265.51644     -2676.1072    
    152000   293.55852      2253.9904      10094.415     -2979.3543     -353.08894     -2676.2698    
    153000   297.28779      768.55712      6261.2696     -4081.4629      125.86472     -2676.1774    
    154000   306.78235     -2623.807       1335.4589     -9592.6351      385.75529     -2675.7811    
    155000   299.29349     -3779.7729     -535.92501     -10938.503      135.10895     -2675.1926    
    156000   307.34515     -3048.3621     -701.42036     -8545.1945      101.52866     -2674.6982    
    157000   313.94783     -336.61421      3589.1402     -4569.1923     -29.790496     -2674.4185    
    158000   322.67721      4804.7493      11779.429      2290.8891      343.92931     -2674.3254    
    159000   313.67663      4097.6937      8141.512       3989.331       162.23808     -2674.511     
    160000   302.26827      3360.414       6564.4111      3360.8942      155.93652     -2675.2744    
    161000   287.81887      1586.5852      6110.1414     -1452.2437      101.85777     -2676.387     
    162000   292.86351     -2511.1322     -553.36418     -7064.9793      84.946964     -2676.7307    
    163000   295.39413     -5117.2037     -4190.5955     -11147.546     -13.469215     -2676.5914    
    164000   294.67599     -2874.061      -3443.6497     -5349.2913      170.75806     -2676.2469    
    165000   294.09916     -1280.4175     -212.11699     -3661.6571      32.521658     -2675.783     
    166000   295.8336       1267.5757      1420.2333      2307.8009      74.693022     -2675.2558    
    167000   303.21386      4045.0247      7510.7356      4532.1788      92.159601     -2674.8757    
    168000   305.57738      2846.4042      7862.901       713.79692     -37.485446     -2674.703     
    169000   302.35025      2550.8048      9157.0099     -1282.8484     -221.74715     -2674.7441    
    170000   300.65422     -2094.1945      1313.2764     -7240.2084     -355.65144     -2674.9095    
    171000   300.06105     -3553.8648      1315.07       -11985.603      8.9388403     -2675.2441    
    172000   281.86937     -3315.6181     -141.23506     -9908.3849      102.76556     -2676.0972    
    173000   267.4465      -2362.9665     -1245.7399     -5747.8814     -95.278112     -2677.0812    
    174000   253.13188     -871.47009      3473.3043     -5865.0497     -222.66488     -2677.2743    
