   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   153.43639     -847.14699      2837.7664     -5243.9172     -135.29015     -2688.8873    
     52000   152.26819     -528.16981      3835.8934     -5404.0874     -16.315434     -2688.741     
     53000   148.8556      -1062.2923      4306.3368     -7249.4406     -243.77314     -2688.5088    
     54000   174.59652     -395.28312      3812.0946     -5275.8611      277.91713     -2688.2533    
     55000   167.90594      1098.7877      6229.2903     -3088.3475      155.42022     -2688.0243    
     56000   163.43956      614.20861      4874.4189     -2980.1619     -51.631155     -2687.8056    
     57000   161.92899     -172.95199      2902.5983     -3434.6308      13.176599     -2687.5671    
     58000   178.20008      1544.9776      5925.2415     -1296.5967      6.2878915     -2687.3059    
     59000   182.76377      811.59672      5121.5417     -2818.5453      131.79373     -2687.0094    
     60000   179.89329      1074.3181      5696.745      -2419.7718     -54.01906      -2686.6974    
     61000   181.57345      1003.7619      6198.3471     -3104.1172     -82.944216     -2686.3764    
     62000   185.40566     -931.11819      2649.7235     -5263.6397     -179.4384      -2686.0434    
     63000   188.27715      220.53764      3832.8988     -3309.4173      138.13143     -2685.6983    
     64000   198.38362      433.70903      3254.637      -1998.2108      44.700896     -2685.3475    
     65000   199.75002     -1055.3489      1947.0929     -5091.2557     -21.88397      -2684.9846    
     66000   202.77207     -551.82919      1848.3504     -3533.2433      29.405393     -2684.6154    
     67000   204.94342     -807.1179       1709.3453     -4185.8639      55.164922     -2684.2394    
     68000   209.48534     -907.8455       1557.4186     -4306.5635      25.608384     -2683.8552    
     69000   207.70365     -1057.2601      3323.2935     -6406.6962     -88.377568     -2683.4651    
     70000   214.58276      122.23629      4063.7635     -3733.3262      36.271607     -2683.0705    
     71000   217.57105     -414.89029      1552.0286     -2806.7515      10.051996     -2682.6708    
     72000   228.12527     -694.00548      2461.9425     -4573.2047      29.24572      -2682.2647    
     73000   223.32979      1876.5016      6984.6334     -1297.645      -57.483567     -2681.8568    
     74000   233.0984       919.28952      5178.7693     -2358.0509     -62.8499       -2681.4462    
     75000   249.94854      523.20408      4217.9148     -2904.1894      255.88682     -2681.0325    
     76000   249.02316      809.04744      1026.0908      1371.2804      29.771099     -2680.6189    
     77000   229.08756      773.92084      3025.547      -742.33803      38.553534     -2680.2001    
     78000   255.74457      671.46849      5287.1357     -3415.3476      142.61736     -2679.7889    
     79000   265.57856      983.8553       6183.6911     -3638.9632      406.83799     -2679.3777    
     80000   252.88037     -926.61775      3326.754      -6001.216      -105.39118     -2678.9691    
     81000   262.36064      14.927636      5163.6566     -5036.6235     -82.250216     -2678.5635    
     82000   262.50221      77.963526      3841.152      -3654.5022      47.24081      -2678.1617    
     83000   269.80669     -1008.764      -807.74135     -2170.941      -47.609789     -2677.7685    
     84000   276.51177     -1606.2288     -1541.173      -2946.3478     -331.16566     -2677.383     
     85000   289.02865      1335.8205      5887.1322     -2035.5099      155.83934     -2677.0075    
     86000   282.15103     -109.81454      1413.186      -1732.1263     -10.503406     -2676.6396    
     87000   270.4141      -1816.1617     -957.35916     -4343.2622     -147.86365     -2676.2781    
     88000   296.07895      996.84689      3843.6088     -1160.4572      307.38899     -2675.9373    
     89000   295.90422      1019.1646      3665.2343     -611.43251      3.6918807     -2675.6081    
     90000   311.27048     -1315.3009      46.303323     -3952.2365     -39.96952      -2675.2974    
     91000   296.33662      233.55519      5034.1849     -3938.8553     -394.66407     -2675.0009    
     92000   319.04278      782.21622      6296.2116     -4111.7947      162.23183     -2674.7257    
     93000   322.63682      299.07012      5889.7287     -4991.4768     -1.0415661     -2674.4725    
     94000   324.15732     -759.7872       1515.3002     -3487.8963     -306.76552     -2674.2431    
     95000   319.7509       69.193979      3751.5807     -3231.2072     -312.79153     -2674.0331    
     96000   314.98037      941.02337      6050.5452     -3257.7599      30.284862     -2673.85      
     97000   321.14618     -319.92374      5674.3939     -6556.721      -77.444181     -2673.6991    
     98000   299.67838      175.75557      3134.9377     -2587.9195     -19.751555     -2673.5759    
     99000   319.54375     -30.806681      2664.7347     -2859.181       102.02627     -2673.4876    
    100000   316.4593      -1441.4186      919.2738      -5013.7256     -229.80402     -2673.4286    
    101000   338.54662     -1800.853       318.60365     -5857.1581      135.99547     -2673.4098    
    102000   331.79365     -149.3486       3225.6612     -3745.1999      71.492835     -2673.4263    
    103000   321.71133      814.47153      7192.3381     -4817.9415      69.017977     -2673.4741    
    104000   318.42237     -1386.0006      1207.4165     -5318.9804     -46.437745     -2673.5555    
    105000   334.21407      733.9894       2317.0364     -74.110024     -40.958187     -2673.6768    
    106000   312.69551      1533.304       8308.971      -3679.7572     -29.301747     -2673.8192    
    107000   323.8731       336.42514      4805.768      -3724.911      -71.581522     -2673.9923    
    108000   313.95942      657.84532      1658.7996      354.19369     -39.457373     -2674.1834    
    109000   302.37815      1052.1215      2972.5744      226.38853     -42.598373     -2674.3948    
    110000   299.90526      126.73938      2879.6352     -2202.127      -297.29004     -2674.6173    
    111000   313.33343     -830.17365      3216.2585     -5372.2967     -334.48271     -2674.8534    
    112000   290.47431     -521.75684      4763.8019     -6023.7586     -305.31382     -2675.0766    
    113000   307.43879     -1242.0714      2664.9587     -6427.1318      35.958963     -2675.3035    
