   Step          Temp          Press           Pxx            Pyy            Pzz           TotEng    
     50171   300            1739.4957      5328.1445     -1597.3162      1487.6589     -2688.9393    
     51000   159.21742      577.43778      5001.9849     -3512.3643      242.69268     -2688.863     
     52000   147.05832     -2186.7596      612.66834     -6910.187      -262.76011     -2688.859     
     53000   156.38504     -225.9483       4319.6701     -5030.1722      32.657193     -2688.8619    
     54000   162.02848     -629.39974      4513.6279     -6503.6645      101.83741     -2688.8672    
     55000   152.68456     -787.16397      2141.3416     -4429.8655     -72.96795      -2688.8574    
     56000   153.79901     -1416.3363      775.60746     -5027.7399      3.1234399     -2688.8629    
     57000   165.69297     -222.77548      2418.8109     -3147.4731      60.335727     -2688.8687    
     58000   159.10837     -1258.0811      2187.6082     -5960.7725     -1.0790642     -2688.8622    
     59000   158.30337     -254.93436      1629.6237     -2462.482       68.055214     -2688.8631    
     60000   149.64043      159.61531      3600.238      -3309.5545      188.16244     -2688.8549    
     61000   157.30186     -601.37917      3051.608      -4987.4357      131.69013     -2688.8628    
     62000   153.54089     -589.61565      4620.02       -6482.4337      93.566778     -2688.8627    
     63000   150.88834     -546.59778      3067.5787     -4468.4342     -238.93783     -2688.8622    
     64000   149.56661     -402.20376      2476.3855     -3654.4977     -28.499082     -2688.8601    
     65000   156.18949     -1152.1901      1595.2799     -5002.6024     -49.247705     -2688.8678    
     66000   153.21556      373.95012      3277.1247     -2186.6066      31.332294     -2688.8603    
     67000   160.95466     -895.71134      1753.528      -4539.86        99.197906     -2688.8645    
     68000   157.47393     -389.21848      3774.9524     -4899.8035     -42.804313     -2688.8628    
     69000   149.9141      -605.80913      2969.0922     -4726.8114     -59.708204     -2688.8575    
     70000   149.51718      62.793372      4201.9865     -3932.2381     -81.368274     -2688.8565    
     71000   153.25449     -1074.8179      1900.5651     -5179.5492      54.530417     -2688.8573    
     72000   161.89449      788.81514      5413.3151     -3278.296       231.42631     -2688.8616    
     73000   157.23484      112.73942      4282.9672     -4065.8632      121.11426     -2688.8603    
     74000   150.95964      69.103069      3713.963      -3554.7324      48.078566     -2688.8537    
     75000   152.76976      66.526537      4850.2652     -4569.001      -81.684567     -2688.8554    
     76000   143.89517      99.846592      5901.2055     -5652.541       50.875203     -2688.8475    
     77000   154.1406       270.30476      5735.3754     -4938.9554      14.494244     -2688.8581    
     78000   149.89796      486.69407      6026.9099     -4520.1283     -46.699411     -2688.8525    
     79000   150.12817      1131.992       5697.3764     -2197.2781     -104.12221     -2688.8526    
     80000   169.36774      1015.1764      4488.6387     -1680.9826      237.87304     -2688.8604    
     81000   155.4526       221.19275      4614.5447     -3891.6902     -59.276214     -2688.8541    
     82000   152.38941      1000.3947      4537.9335     -1496.6853     -40.064077     -2688.8516    
     83000   152.73098      1300.0406      4411.8814     -551.41819      39.658613     -2688.8493    
     84000   152.15724      878.63498      5777.9056     -3024.4485     -117.55211     -2688.8514    
     85000   155.78955      2.5432207      3135.8093     -3051.4986     -76.681062     -2688.8491    
     86000   147.8646       307.7405       4474.3017     -3441.1191     -109.96112     -2688.8395    
     87000   160.65566      752.41075      7195.167      -4803.8353     -134.09946     -2688.8511    
     88000   150.40135      1204.3004      5464.6849     -1887.0466      35.262891     -2688.8455    
     89000   148.6497       463.34729      3405.6115     -2052.0341      36.464433     -2688.8369    
     90000   153.25164      786.43873      4586.38       -2214.1792     -12.884664     -2688.837     
     91000   153.68133      1216.2899      6541.1536     -2915.3307      23.04672      -2688.8411    
     92000   154.04696      1115.0963      7045.9301     -3795.7736      95.132361     -2688.8386    
     93000   156.24779      939.52594      5850.7115     -3038.8563      6.7226622     -2688.8367    
     94000   150.57114      50.785739      2813.8262     -2569.4267     -92.042297     -2688.8358    
     95000   149.4503       1193.9918      7691.9919     -4099.3001     -10.7163       -2688.8328    
     96000   149.71041      471.63741      5350.8161     -3825.5084     -110.3955      -2688.8315    
     97000   150.1299       910.72727      4524.66       -1749.9883     -42.489888     -2688.8297    
     98000   158.14643      147.23607      3331.0986     -2798.4212     -90.969168     -2688.8346    
     99000   144.72427      44.165339      4290.9939     -3935.3664     -223.13153     -2688.8261    
    100000   150.15237      460.18785      5198.6659     -3676.6273     -141.475       -2688.8314    
    101000   147.17787      13.88024       5014.5277     -4743.0741     -229.81281     -2688.8283    
    102000   148.13556     -442.76496      2288.5594     -3541.2886     -75.565646     -2688.8229    
    103000   154.39729      502.4179       4710.5713     -3131.6145     -71.70313      -2688.8264    
    104000   136.74289     -128.4062       2606.082      -2785.0252     -206.27539     -2688.8161    
    105000   152.49467      408.7571       4213.2746     -2900.115      -86.888316     -2688.8262    
    106000   157.79747      237.85552      1416.2169     -737.04274      34.39236      -2688.8232    
    107000   151.38278      93.453956      2700.4281     -2444.0817      24.015502     -2688.8172    
    108000   150.12451     -145.25553      2429.3578     -2921.7529      56.628554     -2688.8184    
